TxnID,AccusedMasterID,AccusedName,Counterparty,Amount,TxnDate,AccountRef
50,0,Nagaraj Bhat,Vinutha Bhat,1418703,2024-01-03 13:18:24,AC38851985
51,0,Deepak Kumar,Rekha Naik,658405,2024-01-03 13:18:24,AC97329916
52,0,Deepak Kumar,Imran Prasad,3612634,2024-01-03 13:18:24,AC78394245
53,0,Deepak Kumar,Bhavana Desai,3972945,2024-01-03 13:18:24,AC10145512
54,0,Nagaraj Bhat,Yashwanth Naik,1371116,2024-01-03 13:18:24,AC45091559
55,0,Deepak Kumar,Joseph Kulkarni,4134541,2024-01-03 13:18:24,AC16119530
56,0,Fatima Hegde,Vinutha Iyengar,66005,2024-01-04 00:54:59,AC60351017
57,0,Nagaraj Patil,Suresh Gowda,2338046,2024-01-04 00:54:59,AC42781553
58,0,Ashwini Kumar,Chetan Rao,4869022,2024-01-04 00:54:59,AC13424152
59,0,Prakash Hegde,Imran Prasad,3660501,2024-01-04 03:47:10,AC89122490
60,0,Prakash Hegde,Lakshmi Gowda,2882148,2024-01-04 03:47:10,AC97550993
61,0,Prakash Hegde,Shivakumar Shetty,2075888,2024-01-04 03:47:10,AC45743746
62,0,Mary Iyengar,Suresh Murthy,3011801,2024-01-04 07:22:12,AC43958884
63,0,Vinutha Shetty,Kiran Kulkarni,3080702,2024-01-04 07:22:12,AC86425203
64,0,Mary Iyengar,Lakshmi Murthy,3805940,2024-01-04 07:22:12,AC85887441
65,0,Vinutha Shetty,Yashwanth Kumar,670952,2024-01-04 07:22:12,AC94615623
66,0,Kiran Desai,Anitha Kumar,86536,2024-01-04 07:22:12,AC34622723
67,0,Prakash Gowda,Vinutha Bhat,3839660,2024-01-04 16:19:02,AC52235344
68,0,Prakash Gowda,Mary Hegde,904340,2024-01-04 16:19:02,AC75514876
69,0,Girish Bhat,Nagaraj Rao,4072985,2024-01-04 17:57:14,AC43466571
70,0,Girish Rao,Mary Bhat,3549263,2024-01-04 17:57:14,AC34684988
71,0,Girish Rao,Rekha Murthy,3075387,2024-01-04 17:57:14,AC68543027
72,0,Girish Rao,Chetan Prasad,1702163,2024-01-04 17:57:14,AC93461560
73,0,Chetan Nayak,Suresh Nayak,262137,2024-01-04 17:57:14,AC34189237
74,0,Chetan Nayak,Nagaraj Hegde,2724240,2024-01-04 17:57:14,AC96046625
75,0,Nagaraj Rao,Suresh Prasad,391260,2024-01-05 02:56:31,AC97363903
76,0,Nagaraj Rao,Ashwini Bhat,3939354,2024-01-05 02:56:31,AC43911648
77,0,Suresh Bhat,Joseph Murthy,3286062,2024-01-05 02:56:31,AC64819466
78,0,Shivakumar Kumar,Shivakumar Kulkarni,3429771,2024-01-05 02:56:31,AC96946365
79,0,Manjunath Reddy,Basavaraj Bhat,1418619,2024-01-05 12:41:40,AC16050752
80,0,Fatima Gowda,Yashwanth Bhat,2041402,2024-01-05 12:41:40,AC41743005
81,0,Fatima Gowda,Prakash Hegde,3062801,2024-01-05 12:41:40,AC32744834
82,0,Ashwini Naik,Deepak Hegde,1617379,2024-01-05 12:41:40,AC75482030
83,0,Fatima Gowda,Chetan Nayak,928437,2024-01-05 12:41:40,AC78990779
84,0,Ashwini Naik,Deepak Shetty,1493844,2024-01-05 12:41:40,AC24052759
85,0,Bhavana Rao,Vinutha Naik,4065078,2024-01-05 14:54:59,AC41098688
86,0,Shivakumar Bhat,Vinutha Desai,4930036,2024-01-05 14:54:59,AC48497384
87,0,Shivakumar Bhat,Yashwanth Shetty,4024334,2024-01-05 14:54:59,AC83438341
88,0,Shivakumar Bhat,Mary Kulkarni,2272280,2024-01-05 14:54:59,AC56398870
89,0,Yashwanth Murthy,Basavaraj Bhat,3196925,2024-01-05 14:54:59,AC62242129
90,0,Shivakumar Bhat,Manjunath Kumar,321553,2024-01-05 14:54:59,AC98972977
91,0,Suresh Reddy,Mary Hegde,329405,2024-01-05 18:23:40,AC43975199
92,0,Chetan Kulkarni,Vinutha Naik,941722,2024-01-05 18:23:40,AC82665395
93,0,Bhavana Kulkarni,Prakash Murthy,4862544,2024-01-05 21:01:48,AC56681605
94,0,Bhavana Kulkarni,Suresh Prasad,2545052,2024-01-05 21:01:48,AC58000434
95,0,Mary Shetty,Yashwanth Prasad,1544725,2024-01-05 21:01:48,AC46457258
96,0,Kiran Hegde,Nagaraj Hegde,4362775,2024-01-05 21:01:48,AC41303039
97,0,Kiran Hegde,Deepak Nayak,897151,2024-01-05 21:01:48,AC13326396
98,0,Kiran Hegde,Yashwanth Hegde,4626283,2024-01-05 21:01:48,AC49982785
99,0,Mary Nayak,Pooja Desai,366845,2024-01-05 23:14:48,AC10667995
100,0,Mary Nayak,Shivakumar Nayak,1722710,2024-01-05 23:14:48,AC17932829
101,0,Mary Nayak,Chetan Shetty,1437440,2024-01-05 23:14:48,AC14555249
102,0,Vinutha Bhat,Basavaraj Prasad,2046834,2024-01-05 23:14:48,AC55071765
103,0,Vinutha Bhat,Nagaraj Hegde,2795810,2024-01-05 23:14:48,AC87257490
104,0,Vinutha Bhat,Bhavana Patil,183290,2024-01-05 23:14:48,AC35233008
105,0,Ravi Murthy,Vinutha Rao,3923243,2024-01-05 23:17:32,AC70787712
106,0,Ravi Murthy,Lakshmi Kulkarni,4445956,2024-01-05 23:17:32,AC41392588
107,0,Vinutha Naik,Pooja Iyengar,845340,2024-01-06 01:19:57,AC69578244
108,0,Vinutha Naik,Girish Murthy,2156204,2024-01-06 01:19:57,AC60368909
109,0,Vinutha Naik,Yashwanth Kumar,2240114,2024-01-06 01:19:57,AC62762538
110,0,Mary Bhat,Kiran Reddy,484037,2024-01-06 12:12:29,AC95925943
111,0,Bhavana Rao,Lakshmi Reddy,4200928,2024-01-06 12:12:29,AC87644025
112,0,Bhavana Rao,Imran Shetty,3108048,2024-01-06 12:12:29,AC55138903
113,0,Bhavana Rao,Kiran Nayak,728456,2024-01-06 12:12:29,AC48736233
114,0,Pooja Rao,Yashwanth Nayak,764698,2024-01-06 12:12:29,AC84714911
115,0,Bhavana Rao,Joseph Kulkarni,451548,2024-01-06 12:12:29,AC29798331
116,0,Vinutha Kumar,Suresh Gowda,1022121,2024-01-06 21:46:07,AC19872034
117,0,Yashwanth Hegde,Imran Desai,1651124,2024-01-06 21:46:07,AC74394738
118,0,Vinutha Kumar,Pooja Kumar,4538333,2024-01-06 21:46:07,AC24760175
119,0,Yashwanth Hegde,Manjunath Rao,1018530,2024-01-06 21:46:07,AC48312310
120,0,Yashwanth Hegde,Ravi Kulkarni,2429000,2024-01-06 21:46:07,AC86303664
121,0,Vinutha Kumar,Joseph Hegde,2535668,2024-01-06 21:46:07,AC60468993
122,0,Bhavana Murthy,Girish Patil,4186040,2024-01-07 04:31:32,AC46895582
123,0,Manjunath Kumar,Fatima Nayak,1300511,2024-01-07 04:31:32,AC34301638
124,0,Rekha Prasad,Fatima Nayak,1862582,2024-01-07 12:27:24,AC70626840
125,0,Mary Iyengar,Deepak Kumar,4767897,2024-01-07 12:27:24,AC61518390
126,0,Mary Iyengar,Anitha Rao,2996140,2024-01-07 12:27:24,AC47032724
127,0,Rekha Prasad,Suresh Prasad,425832,2024-01-07 12:27:24,AC68940957
128,0,Mary Iyengar,Nagaraj Desai,4719674,2024-01-07 12:27:24,AC85189602
129,0,Vinutha Patil,Fatima Shetty,3199308,2024-01-07 21:51:15,AC63425595
130,0,Kiran Prasad,Basavaraj Reddy,4006794,2024-01-07 21:51:15,AC80943019
131,0,Kiran Prasad,Fatima Iyengar,3341410,2024-01-07 21:51:15,AC54442946
132,0,Deepak Reddy,Suresh Iyengar,1567699,2024-01-08 01:52:00,AC52853490
133,0,Deepak Reddy,Nagaraj Rao,714246,2024-01-08 01:52:00,AC26860887
134,0,Deepak Reddy,Ashwini Prasad,740696,2024-01-08 01:52:00,AC51330561
135,0,Deepak Reddy,Deepak Nayak,2475805,2024-01-08 01:52:00,AC97548287
136,0,Deepak Reddy,Ashwini Kumar,1722056,2024-01-08 01:52:00,AC95394988
137,0,Deepak Reddy,Prakash Desai,2118198,2024-01-08 01:52:00,AC56900993
138,0,Anitha Desai,Basavaraj Iyengar,4003940,2024-01-08 02:49:43,AC82252794
139,0,Fatima Kumar,Ravi Gowda,3848399,2024-01-08 02:49:43,AC66078372
140,0,Anitha Desai,Fatima Murthy,2987142,2024-01-08 02:49:43,AC93871933
141,0,Anitha Desai,Manjunath Hegde,4871233,2024-01-08 02:49:43,AC86151898
142,0,Bhavana Gowda,Lakshmi Hegde,3237462,2024-01-08 06:02:47,AC11162596
143,0,Bhavana Gowda,Yashwanth Kulkarni,3301169,2024-01-08 06:02:47,AC80433158
144,0,Bhavana Gowda,Mary Prasad,2215701,2024-01-08 06:02:47,AC47116616
145,0,Bhavana Gowda,Prakash Naik,3494254,2024-01-08 06:02:47,AC99293943
146,0,Chetan Iyengar,Vinutha Naik,1988803,2024-01-08 06:29:45,AC45241624
147,0,Chetan Iyengar,Pooja Gowda,4524034,2024-01-08 06:29:45,AC88311461
148,0,Rekha Reddy,Basavaraj Prasad,2025360,2024-01-08 06:29:45,AC59870911
149,0,Rekha Reddy,Lakshmi Rao,1675089,2024-01-08 06:29:45,AC74244076
150,0,Vinutha Hegde,Chetan Iyengar,2837357,2024-01-08 06:29:45,AC76761364
151,0,Imran Gowda,Imran Bhat,2992758,2024-01-08 06:37:54,AC57345171
152,0,Imran Gowda,Lakshmi Patil,2399962,2024-01-08 06:37:54,AC33588465
153,0,Lakshmi Iyengar,Shivakumar Gowda,2260632,2024-01-08 11:57:02,AC92928305
154,0,Mary Naik,Kiran Naik,4334753,2024-01-08 11:57:02,AC33580318
155,0,Lakshmi Iyengar,Girish Iyengar,1851013,2024-01-08 11:57:02,AC32862699
156,0,Chetan Prasad,Joseph Murthy,2253230,2024-01-08 20:30:41,AC39181418
157,0,Shivakumar Hegde,Fatima Prasad,1900479,2024-01-08 20:30:41,AC38365999
158,0,Chetan Prasad,Bhavana Reddy,2515000,2024-01-08 20:30:41,AC30261472
159,0,Chetan Prasad,Shivakumar Naik,921509,2024-01-08 20:30:41,AC39238432
160,0,Chetan Prasad,Chetan Hegde,3466160,2024-01-08 20:30:41,AC13747920
161,0,Chetan Prasad,Lakshmi Prasad,909470,2024-01-08 20:30:41,AC43625771
162,0,Manjunath Kumar,Rekha Kulkarni,232346,2024-01-08 21:30:51,AC74937963
163,0,Ashwini Reddy,Vinutha Prasad,2773653,2024-01-08 21:30:51,AC24397138
164,0,Manjunath Kumar,Chetan Kulkarni,2927182,2024-01-08 21:30:51,AC22028067
165,0,Manjunath Kumar,Mary Kulkarni,3321179,2024-01-08 21:30:51,AC99194436
166,0,Vinutha Shetty,Pooja Prasad,2314561,2024-01-09 07:23:26,AC50174315
167,0,Prakash Patil,Ravi Desai,2674408,2024-01-09 07:23:26,AC25521358
168,0,Ashwini Kulkarni,Anitha Rao,4533488,2024-01-09 11:59:39,AC65574110
169,0,Chetan Prasad,Ashwini Iyengar,2209386,2024-01-09 11:59:39,AC97455101
170,0,Basavaraj Hegde,Bhavana Kumar,3009841,2024-01-09 11:59:39,AC25030564
171,0,Ashwini Kulkarni,Basavaraj Iyengar,3668727,2024-01-09 11:59:39,AC21498001
172,0,Ashwini Kulkarni,Shivakumar Hegde,3520656,2024-01-09 11:59:39,AC23709082
173,0,Basavaraj Nayak,Pooja Iyengar,3175358,2024-01-09 12:24:39,AC68233387
174,0,Basavaraj Nayak,Suresh Murthy,2649182,2024-01-09 12:24:39,AC65945553
175,0,Basavaraj Nayak,Pooja Iyengar,321392,2024-01-09 12:24:39,AC28330772
176,0,Basavaraj Nayak,Ashwini Kumar,4863036,2024-01-09 12:24:39,AC38315567
177,0,Nagaraj Rao,Girish Shetty,4987861,2024-01-10 05:53:26,AC88373892
178,0,Nagaraj Rao,Imran Nayak,3169811,2024-01-10 05:53:26,AC22649615
179,0,Nagaraj Rao,Prakash Kulkarni,2095349,2024-01-10 05:53:26,AC62662630
180,0,Suresh Bhat,Vinutha Rao,4652010,2024-01-10 07:21:34,AC45793538
181,0,Suresh Bhat,Basavaraj Patil,4711459,2024-01-10 07:21:34,AC18231385
182,0,Bhavana Rao,Lakshmi Prasad,4414064,2024-01-10 07:21:34,AC72348505
183,0,Ashwini Patil,Basavaraj Hegde,661773,2024-01-10 10:46:08,AC35925107
184,0,Ashwini Patil,Nagaraj Desai,1781790,2024-01-10 10:46:08,AC66921584
185,0,Ashwini Patil,Chetan Shetty,2883296,2024-01-10 10:46:08,AC59623128
186,0,Chetan Iyengar,Rekha Gowda,505364,2024-01-10 17:48:02,AC76704272
187,0,Yashwanth Kumar,Imran Gowda,766881,2024-01-10 17:48:02,AC44131303
188,0,Yashwanth Kumar,Ashwini Patil,4317566,2024-01-10 17:48:02,AC86416828
189,0,Yashwanth Kumar,Joseph Reddy,2152779,2024-01-10 17:48:02,AC34655658
190,0,Chetan Iyengar,Deepak Bhat,4779978,2024-01-10 17:48:02,AC55068096
191,0,Ashwini Reddy,Lakshmi Desai,4024078,2024-01-10 18:06:18,AC58470216
192,0,Nagaraj Patil,Vinutha Prasad,2762661,2024-01-10 18:06:18,AC52177459
193,0,Ashwini Reddy,Mary Murthy,3077199,2024-01-10 18:06:18,AC40157247
194,0,Nagaraj Patil,Fatima Murthy,4163355,2024-01-10 18:06:18,AC93641337
195,0,Pooja Patil,Manjunath Nayak,4677791,2024-01-11 02:20:31,AC81425452
196,0,Pooja Patil,Manjunath Desai,4377066,2024-01-11 02:20:31,AC59795277
197,0,Suresh Desai,Bhavana Desai,3457976,2024-01-11 03:55:03,AC74565812
198,0,Suresh Desai,Yashwanth Patil,2599509,2024-01-11 03:55:03,AC72804602
199,0,Suresh Desai,Chetan Rao,4084941,2024-01-11 03:55:03,AC43832975
200,0,Ashwini Kulkarni,Mary Rao,3096791,2024-01-11 09:18:33,AC15917137
201,0,Ashwini Kulkarni,Basavaraj Hegde,334179,2024-01-11 09:18:33,AC60716476
202,0,Yashwanth Kumar,Girish Murthy,1815702,2024-01-11 09:18:33,AC54408421
203,0,Yashwanth Kumar,Imran Naik,368903,2024-01-11 09:18:33,AC70912253
204,0,Yashwanth Kumar,Vinutha Hegde,2208377,2024-01-11 09:18:33,AC62696607
205,0,Yashwanth Kumar,Manjunath Rao,4425663,2024-01-11 09:18:33,AC17149245
206,0,Joseph Desai,Suresh Kumar,2004064,2024-01-11 11:14:24,AC96254778
207,0,Joseph Desai,Kiran Bhat,3761724,2024-01-11 11:14:24,AC32909302
208,0,Joseph Desai,Fatima Shetty,4665489,2024-01-11 11:14:24,AC19916530
209,0,Joseph Desai,Prakash Shetty,1071516,2024-01-11 11:14:24,AC24402377
210,0,Bhavana Gowda,Chetan Reddy,964791,2024-01-11 13:24:18,AC45584970
211,0,Shivakumar Nayak,Bhavana Kulkarni,1588554,2024-01-11 13:24:18,AC23254444
212,0,Bhavana Gowda,Anitha Patil,1841813,2024-01-11 13:24:18,AC75475737
213,0,Bhavana Gowda,Shivakumar Desai,2704064,2024-01-11 13:24:18,AC65261722
214,0,Bhavana Nayak,Anitha Patil,4947385,2024-01-11 14:13:33,AC69163216
215,0,Nagaraj Kumar,Mary Prasad,1244809,2024-01-11 14:13:33,AC25317643
216,0,Nagaraj Hegde,Fatima Nayak,4738070,2024-01-11 14:13:33,AC88299626
217,0,Bhavana Nayak,Nagaraj Kumar,2807248,2024-01-11 14:13:33,AC47056060
218,0,Prakash Shetty,Pooja Murthy,634943,2024-01-11 16:21:06,AC63447119
219,0,Prakash Shetty,Bhavana Prasad,253736,2024-01-11 16:21:06,AC64010089
220,0,Prakash Shetty,Joseph Rao,3133872,2024-01-11 16:21:06,AC18345144
221,0,Prakash Shetty,Ashwini Hegde,2022880,2024-01-11 16:21:06,AC14127693
222,0,Prakash Shetty,Girish Prasad,2004255,2024-01-11 16:21:06,AC64097501
223,0,Prakash Shetty,Ravi Hegde,4208536,2024-01-11 16:21:06,AC18100732
224,0,Deepak Desai,Pooja Shetty,4599938,2024-01-11 16:45:02,AC12350830
225,0,Deepak Desai,Nagaraj Shetty,512385,2024-01-11 16:45:02,AC38309522
226,0,Imran Hegde,Yashwanth Rao,1631827,2024-01-11 16:45:02,AC42397939
227,0,Deepak Desai,Pooja Kulkarni,2350895,2024-01-11 16:45:02,AC29188211
228,0,Chetan Iyengar,Pooja Kumar,737571,2024-01-11 18:42:15,AC95121785
229,0,Chetan Iyengar,Nagaraj Bhat,2050299,2024-01-11 18:42:15,AC16147847
230,0,Chetan Iyengar,Joseph Kulkarni,2579220,2024-01-11 18:42:15,AC76873264
231,0,Chetan Iyengar,Imran Desai,1685758,2024-01-11 18:42:15,AC24059752
232,0,Chetan Iyengar,Basavaraj Naik,3319822,2024-01-11 18:42:15,AC56913877
233,0,Pooja Iyengar,Bhavana Hegde,1701986,2024-01-12 01:37:23,AC81862917
234,0,Deepak Kumar,Prakash Patil,1476184,2024-01-12 01:37:23,AC11960014
235,0,Pooja Iyengar,Yashwanth Prasad,3140519,2024-01-12 01:37:23,AC13051500
236,0,Deepak Kumar,Bhavana Kumar,136065,2024-01-12 01:37:23,AC26585115
237,0,Manjunath Iyengar,Bhavana Desai,3568726,2024-01-12 01:46:55,AC13190975
238,0,Manjunath Iyengar,Nagaraj Naik,345793,2024-01-12 01:46:55,AC63097205
239,0,Manjunath Iyengar,Lakshmi Shetty,2251990,2024-01-12 01:46:55,AC22413760
240,0,Manjunath Iyengar,Joseph Gowda,224879,2024-01-12 01:46:55,AC64738868
241,0,Manjunath Iyengar,Nagaraj Rao,970254,2024-01-12 01:46:55,AC82110117
242,0,Manjunath Iyengar,Fatima Murthy,1465972,2024-01-12 01:46:55,AC24777804
243,0,Deepak Gowda,Vinutha Patil,3039787,2024-01-12 09:17:21,AC29342983
244,0,Deepak Gowda,Shivakumar Reddy,2128786,2024-01-12 09:17:21,AC98006994
245,0,Deepak Gowda,Rekha Kumar,526964,2024-01-12 09:17:21,AC63239803
246,0,Deepak Gowda,Manjunath Iyengar,1875889,2024-01-12 09:17:21,AC11226074
247,0,Deepak Gowda,Vinutha Hegde,4465277,2024-01-12 09:17:21,AC11768626
248,0,Deepak Prasad,Prakash Gowda,2732343,2024-01-12 09:58:36,AC25531947
249,0,Ashwini Rao,Chetan Murthy,4203346,2024-01-12 09:58:36,AC66171276
250,0,Deepak Prasad,Imran Nayak,3087687,2024-01-12 09:58:36,AC46759182
251,0,Ashwini Rao,Joseph Rao,2403202,2024-01-12 09:58:36,AC80834906
252,0,Mary Kulkarni,Fatima Murthy,2911120,2024-01-12 15:47:26,AC68794747
253,0,Mary Kulkarni,Mary Patil,4207441,2024-01-12 15:47:26,AC25218329
254,0,Mary Kulkarni,Bhavana Nayak,3292293,2024-01-12 15:47:26,AC12851736
255,0,Mary Kulkarni,Manjunath Murthy,3024548,2024-01-12 15:47:26,AC13067503
256,0,Mary Kulkarni,Suresh Gowda,463228,2024-01-12 15:47:26,AC52042597
257,0,Yashwanth Bhat,Shivakumar Gowda,4807175,2024-01-12 15:53:46,AC57154811
258,0,Yashwanth Bhat,Suresh Murthy,579087,2024-01-12 15:53:46,AC26074485
259,0,Prakash Prasad,Girish Desai,215964,2024-01-12 23:48:22,AC75153548
260,0,Shivakumar Patil,Bhavana Murthy,737427,2024-01-12 23:48:22,AC99733260
261,0,Prakash Prasad,Yashwanth Nayak,4356273,2024-01-12 23:48:22,AC80597057
262,0,Shivakumar Patil,Deepak Murthy,4364838,2024-01-12 23:48:22,AC90853451
263,0,Nagaraj Hegde,Deepak Shetty,1518757,2024-01-12 23:48:22,AC93059570
264,0,Prakash Prasad,Kiran Kulkarni,1895169,2024-01-12 23:48:22,AC87163517
265,0,Chetan Bhat,Fatima Prasad,1701918,2024-01-13 01:13:43,AC24503683
266,0,Chetan Bhat,Joseph Reddy,1673074,2024-01-13 01:13:43,AC53408849
267,0,Chetan Bhat,Imran Rao,23855,2024-01-13 01:13:43,AC51855405
268,0,Suresh Prasad,Shivakumar Kulkarni,1759128,2024-01-13 01:54:45,AC86971502
269,0,Joseph Gowda,Ashwini Kulkarni,1877292,2024-01-13 01:54:45,AC49201049
270,0,Joseph Gowda,Rekha Patil,915991,2024-01-13 01:54:45,AC43858276
271,0,Suresh Prasad,Prakash Iyengar,4864619,2024-01-13 01:54:45,AC14551364
272,0,Suresh Prasad,Suresh Reddy,1207948,2024-01-13 01:54:45,AC68769990
273,0,Anitha Kulkarni,Pooja Patil,4734079,2024-01-13 08:57:32,AC18974830
274,0,Anitha Kulkarni,Girish Desai,4355104,2024-01-13 08:57:32,AC22318858
275,0,Anitha Kulkarni,Imran Shetty,3493924,2024-01-13 08:57:32,AC91570401
276,0,Suresh Prasad,Lakshmi Prasad,4915458,2024-01-13 11:31:34,AC53668300
277,0,Deepak Patil,Joseph Murthy,4581373,2024-01-13 11:31:34,AC49313253
278,0,Suresh Prasad,Nagaraj Naik,3045258,2024-01-13 11:31:34,AC34689563
279,0,Suresh Prasad,Mary Hegde,3477067,2024-01-13 11:31:34,AC61397978
280,0,Joseph Prasad,Kiran Naik,3571205,2024-01-13 11:31:34,AC11288498
281,0,Mary Patil,Bhavana Rao,1740312,2024-01-13 12:04:36,AC69681063
282,0,Mary Patil,Girish Kulkarni,3905042,2024-01-13 12:04:36,AC28638780
283,0,Mary Gowda,Mary Iyengar,3815033,2024-01-13 12:04:36,AC90140819
284,0,Mary Gowda,Suresh Nayak,2931641,2024-01-13 12:04:36,AC81091772
285,0,Manjunath Shetty,Pooja Rao,1729773,2024-01-13 14:45:43,AC55964817
286,0,Manjunath Shetty,Anitha Nayak,3160134,2024-01-13 14:45:43,AC53127065
287,0,Manjunath Shetty,Rekha Rao,4685140,2024-01-13 14:45:43,AC77587074
288,0,Manjunath Shetty,Joseph Iyengar,2424787,2024-01-13 14:45:43,AC72305229
289,0,Manjunath Shetty,Vinutha Shetty,4744608,2024-01-13 14:45:43,AC68763131
290,0,Ravi Desai,Lakshmi Naik,723172,2024-01-14 00:44:26,AC80524150
291,0,Joseph Naik,Suresh Nayak,3040539,2024-01-14 00:44:26,AC85429064
292,0,Manjunath Iyengar,Lakshmi Patil,790115,2024-01-14 04:14:57,AC78694268
293,0,Manjunath Iyengar,Nagaraj Shetty,4163870,2024-01-14 04:14:57,AC65705403
294,0,Manjunath Iyengar,Nagaraj Murthy,4625413,2024-01-14 04:14:57,AC36688619
295,0,Manjunath Iyengar,Nagaraj Patil,4226693,2024-01-14 04:14:57,AC54544767
296,0,Manjunath Iyengar,Vinutha Rao,4341159,2024-01-14 04:14:57,AC10661417
297,0,Suresh Prasad,Prakash Shetty,1608445,2024-01-14 07:19:35,AC55752832
298,0,Suresh Prasad,Fatima Reddy,408650,2024-01-14 07:19:35,AC89248916
299,0,Vinutha Murthy,Anitha Nayak,4119033,2024-01-14 07:19:35,AC25921705
300,0,Nagaraj Desai,Joseph Iyengar,2912736,2024-01-14 12:22:00,AC91038268
301,0,Imran Reddy,Pooja Shetty,4197648,2024-01-14 12:22:00,AC71794383
302,0,Nagaraj Desai,Fatima Patil,1261506,2024-01-14 12:22:00,AC99996137
303,0,Imran Reddy,Manjunath Gowda,729314,2024-01-14 12:22:00,AC39434768
304,0,Nagaraj Desai,Pooja Kulkarni,4887686,2024-01-14 12:22:00,AC67725424
