LinkID,AccusedA,AccusedB,SharedCases,RingID
3545,Deepak Kulkarni,Mary Iyengar,6,0
3698,Prakash Rao,Suresh Nayak,6,0
3834,Ashwini Naik,Yashwanth Reddy,6,5
3954,Bhavana Rao,Yashwanth Reddy,6,5
4439,Ashwini Naik,Prakash Shetty,6,5
4441,Anitha Nayak,Prakash Shetty,6,0
4448,Lakshmi Shetty,Prakash Patil,6,0
4513,Mary Hegde,Ravi Gowda,6,5
4557,Bhavana Kulkarni,Suresh Gowda,6,0
4836,Mary Reddy,Nagaraj Kumar,6,5
4949,Nagaraj Bhat,Prakash Kulkarni,6,3
5022,Ravi Bhat,Vinutha Reddy,6,0
5075,Basavaraj Patil,Manjunath Reddy,6,2
5212,Kiran Iyengar,Mary Desai,6,0
5215,Manjunath Kumar,Rekha Shetty,6,3
5274,Chetan Kulkarni,Mary Gowda,6,0
5276,Chetan Kulkarni,Prakash Gowda,6,0
5339,Anitha Bhat,Mary Iyengar,6,7
5566,Bhavana Gowda,Suresh Desai,6,1
5572,Bhavana Rao,Vinutha Prasad,6,0
5608,Deepak Rao,Kiran Reddy,6,7
5853,Vinutha Desai,Yashwanth Kulkarni,6,0
6003,Prakash Hegde,Rekha Shetty,6,3
6276,Kiran Murthy,Suresh Hegde,6,8
6359,Anitha Rao,Lakshmi Kumar,6,4
6368,Anitha Nayak,Prakash Gowda,6,0
6570,Pooja Shetty,Ravi Desai,6,6
6595,Basavaraj Iyengar,Deepak Iyengar,6,3
7626,Joseph Kumar,Yashwanth Desai,6,2
7710,Prakash Iyengar,Prakash Shetty,6,5
7738,Deepak Bhat,Girish Nayak,6,0
7827,Imran Shetty,Manjunath Nayak,6,5
7837,Basavaraj Bhat,Girish Patil,6,2
7983,Anitha Patil,Mary Murthy,6,8
8218,Deepak Bhat,Rekha Gowda,6,0
8316,Deepak Kumar,Manjunath Kulkarni,6,0
8469,Ashwini Shetty,Basavaraj Kumar,6,0
8548,Anitha Prasad,Chetan Kulkarni,6,0
8924,Bhavana Gowda,Rekha Murthy,6,1
8935,Chetan Kulkarni,Suresh Desai,6,0
9024,Chetan Kumar,Vinutha Gowda,6,0
9201,Ravi Desai,Shivakumar Shetty,6,8
9339,Deepak Kulkarni,Imran Naik,6,0
9351,Chetan Kulkarni,Lakshmi Reddy,6,8
9920,Girish Hegde,Manjunath Nayak,6,4
9971,Fatima Reddy,Imran Gowda,6,0
10528,Fatima Rao,Lakshmi Prasad,6,0
10944,Manjunath Kulkarni,Yashwanth Patil,6,0
11025,Anitha Nayak,Yashwanth Bhat,6,3
11038,Manjunath Kulkarni,Mary Iyengar,6,0
11129,Rekha Murthy,Suresh Nayak,6,7
11177,Bhavana Shetty,Deepak Prasad,6,0
11332,Mary Patil,Pooja Iyengar,6,5
11497,Ashwini Nayak,Bhavana Hegde,6,0
11753,Shivakumar Hegde,Suresh Naik,6,1
11965,Ashwini Prasad,Joseph Kulkarni,6,0
12494,Anitha Kulkarni,Vinutha Gowda,6,0
13425,Girish Reddy,Shivakumar Shetty,6,8
13426,Chetan Kulkarni,Shivakumar Shetty,6,8
13513,Basavaraj Bhat,Pooja Hegde,6,2
13526,Bhavana Nayak,Joseph Kulkarni,6,2
13849,Chetan Kulkarni,Kiran Desai,6,0
14226,Girish Kulkarni,Ravi Nayak,6,5
14811,Ashwini Iyengar,Lakshmi Kumar,6,4
14855,Nagaraj Rao,Pooja Patil,6,0
15283,Ashwini Shetty,Bhavana Desai,6,5
15306,Mary Murthy,Yashwanth Patil,6,8
15429,Vinutha Gowda,Vinutha Patil,6,2
15551,Bhavana Gowda,Ravi Nayak,6,1
15692,Girish Gowda,Pooja Shetty,6,6
15817,Prakash Gowda,Suresh Desai,6,0
16409,Anitha Patil,Pooja Murthy,6,0
16443,Suresh Bhat,Yashwanth Reddy,6,7
16563,Kiran Iyengar,Rekha Kulkarni,6,0
16673,Vinutha Rao,Yashwanth Rao,6,0
17082,Ashwini Desai,Rekha Patil,6,0
17498,Chetan Kulkarni,Nagaraj Bhat,6,3
17502,Joseph Murthy,Nagaraj Patil,6,2
17579,Manjunath Gowda,Prakash Nayak,6,0
17807,Basavaraj Hegde,Bhavana Gowda,6,1
18121,Rekha Kumar,Shivakumar Naik,6,5
18151,Mary Shetty,Pooja Murthy,6,0
18326,Manjunath Shetty,Ravi Iyengar,6,4
18411,Bhavana Gowda,Manjunath Patil,6,1
18463,Chetan Bhat,Manjunath Prasad,6,0
18850,Bhavana Murthy,Rekha Kulkarni,6,0
18924,Fatima Hegde,Lakshmi Kulkarni,6,0
19097,Ashwini Iyengar,Shivakumar Desai,6,4
19762,Pooja Iyengar,Prakash Kulkarni,6,5
20166,Bhavana Nayak,Rekha Kulkarni,6,2
20338,Kiran Reddy,Mary Murthy,6,7
21455,Joseph Iyengar,Manjunath Patil,6,6
21675,Imran Shetty,Shivakumar Murthy,6,0
22648,Basavaraj Patil,Joseph Kumar,6,2
23780,Joseph Shetty,Manjunath Shetty,6,4
24128,Girish Naik,Imran Gowda,6,0
25356,Imran Reddy,Prakash Patil,6,0
26230,Basavaraj Bhat,Prakash Naik,6,2
26298,Bhavana Gowda,Yashwanth Kulkarni,6,1
26687,Imran Rao,Rekha Nayak,6,8
29625,Manjunath Iyengar,Prakash Hegde,6,0
29715,Ashwini Desai,Lakshmi Nayak,6,1
102,Anitha Kumar,Imran Shetty,5,0
103,Imran Shetty,Lakshmi Rao,5,7
120,Mary Reddy,Prakash Bhat,5,5
127,Lakshmi Murthy,Shivakumar Rao,5,0
141,Anitha Reddy,Kiran Iyengar,5,0
157,Basavaraj Reddy,Deepak Gowda,5,0
164,Chetan Kumar,Girish Shetty,5,0
176,Ashwini Hegde,Basavaraj Patil,5,2
177,Basavaraj Patil,Nagaraj Gowda,5,2
199,Joseph Nayak,Ravi Bhat,5,0
242,Bhavana Rao,Shivakumar Bhat,5,0
272,Ashwini Gowda,Manjunath Reddy,5,0
311,Vinutha Kumar,Yashwanth Hegde,5,0
337,Kiran Prasad,Vinutha Patil,5,2
351,Chetan Iyengar,Rekha Reddy,5,0
365,Deepak Hegde,Lakshmi Patil,5,0
460,Mary Reddy,Ravi Iyengar,5,5
549,Ashwini Iyengar,Mary Prasad,5,4
585,Basavaraj Rao,Suresh Murthy,5,0
638,Imran Hegde,Nagaraj Rao,5,0
669,Lakshmi Kulkarni,Lakshmi Prasad,5,0
674,Deepak Iyengar,Suresh Murthy,5,3
683,Ashwini Gowda,Shivakumar Shetty,5,8
721,Manjunath Naik,Yashwanth Hegde,5,0
772,Imran Gowda,Vinutha Murthy,5,0
784,Manjunath Iyengar,Nagaraj Prasad,5,0
785,Suresh Patil,Yashwanth Patil,5,0
820,Ashwini Iyengar,Kiran Kumar,5,4
831,Nagaraj Bhat,Yashwanth Hegde,5,3
849,Anitha Nayak,Girish Patil,5,0
870,Ashwini Gowda,Ravi Patil,5,0
874,Bhavana Reddy,Yashwanth Rao,5,0
920,Bhavana Nayak,Mary Naik,5,2
953,Imran Nayak,Nagaraj Bhat,5,3
1038,Basavaraj Kumar,Vinutha Reddy,5,0
1039,Basavaraj Naik,Mary Gowda,5,0
1047,Anitha Murthy,Manjunath Naik,5,0
1067,Basavaraj Kumar,Girish Iyengar,5,0
1071,Basavaraj Bhat,Basavaraj Rao,5,2
1163,Prakash Naik,Shivakumar Kumar,5,2
1185,Basavaraj Rao,Yashwanth Reddy,5,5
1197,Deepak Kulkarni,Yashwanth Naik,5,0
1220,Anitha Reddy,Rekha Murthy,5,7
1262,Lakshmi Iyengar,Ravi Shetty,5,0
1263,Fatima Shetty,Lakshmi Hegde,5,7
1298,Lakshmi Iyengar,Vinutha Patil,5,2
1306,Bhavana Kumar,Nagaraj Rao,5,0
1313,Bhavana Gowda,Fatima Kulkarni,5,1
1330,Basavaraj Naik,Nagaraj Patil,5,2
1371,Anitha Patil,Ashwini Shetty,5,0
1374,Prakash Patil,Vinutha Rao,5,0
1405,Girish Kulkarni,Nagaraj Bhat,5,5
1451,Ravi Shetty,Yashwanth Hegde,5,0
1469,Ashwini Desai,Yashwanth Rao,5,0
1537,Nagaraj Gowda,Pooja Shetty,5,6
1563,Basavaraj Nayak,Girish Murthy,5,0
1609,Fatima Iyengar,Prakash Shetty,5,1
1634,Anitha Iyengar,Imran Bhat,5,0
1641,Prakash Bhat,Prakash Nayak,5,0
1664,Joseph Patil,Prakash Naik,5,3
1693,Girish Prasad,Manjunath Kulkarni,5,0
1697,Bhavana Kulkarni,Bhavana Nayak,5,2
1700,Bhavana Nayak,Manjunath Naik,5,2
1728,Joseph Nayak,Shivakumar Desai,5,4
1784,Girish Reddy,Kiran Desai,5,0
1979,Girish Murthy,Manjunath Nayak,5,5
1983,Lakshmi Desai,Prakash Iyengar,5,5
1989,Anitha Nayak,Shivakumar Shetty,5,8
2012,Anitha Naik,Rekha Gowda,5,0
2017,Rekha Shetty,Shivakumar Naik,5,3
2025,Girish Murthy,Suresh Nayak,5,0
2101,Basavaraj Kumar,Lakshmi Murthy,5,0
2135,Kiran Iyengar,Shivakumar Shetty,5,8
2241,Manjunath Gowda,Yashwanth Nayak,5,0
2260,Shivakumar Prasad,Shivakumar Shetty,5,8
2261,Ravi Bhat,Shivakumar Shetty,5,8
2296,Ravi Nayak,Vinutha Bhat,5,1
2472,Ashwini Shetty,Manjunath Kulkarni,5,0
2480,Ravi Gowda,Rekha Murthy,5,3
2517,Deepak Rao,Shivakumar Shetty,5,7
2534,Girish Kulkarni,Yashwanth Nayak,5,5
2545,Manjunath Reddy,Mary Shetty,5,0
2550,Basavaraj Bhat,Shivakumar Naik,5,2
2553,Imran Hegde,Kiran Iyengar,5,0
2686,Imran Reddy,Shivakumar Gowda,5,3
2739,Lakshmi Bhat,Ravi Bhat,5,0
2746,Nagaraj Kulkarni,Suresh Bhat,5,4
2747,Kiran Hegde,Nagaraj Kulkarni,5,3
2802,Anitha Patil,Ravi Hegde,5,0
2832,Fatima Kumar,Kiran Iyengar,5,0
2845,Anitha Reddy,Basavaraj Hegde,5,0
2849,Deepak Rao,Girish Nayak,5,7
2854,Imran Gowda,Prakash Kulkarni,5,7
2861,Chetan Kulkarni,Vinutha Prasad,5,0
2869,Bhavana Bhat,Girish Bhat,5,6
2884,Deepak Rao,Yashwanth Iyengar,5,7
2907,Pooja Murthy,Suresh Desai,5,0
2941,Fatima Naik,Prakash Rao,5,0
2943,Nagaraj Gowda,Prakash Nayak,5,0
3039,Manjunath Shetty,Prakash Murthy,5,4
3046,Lakshmi Prasad,Manjunath Desai,5,8
3113,Nagaraj Hegde,Yashwanth Kumar,5,0
3117,Anitha Kumar,Yashwanth Rao,5,0
3119,Pooja Bhat,Vinutha Reddy,5,5
3124,Ravi Shetty,Rekha Gowda,5,0
3137,Kiran Shetty,Pooja Shetty,5,6
3186,Basavaraj Reddy,Deepak Hegde,5,0
3262,Manjunath Patil,Vinutha Gowda,5,0
3284,Mary Murthy,Ravi Bhat,5,8
3309,Bhavana Gowda,Fatima Iyengar,5,1
3383,Anitha Desai,Pooja Desai,5,0
3389,Pooja Rao,Shivakumar Desai,5,7
3406,Basavaraj Patil,Chetan Patil,5,2
3463,Anitha Nayak,Fatima Shetty,5,7
3489,Shivakumar Naik,Shivakumar Reddy,5,5
3505,Joseph Rao,Ravi Nayak,5,1
3510,Anitha Kumar,Pooja Shetty,5,6
3574,Pooja Nayak,Prakash Rao,5,0
3579,Pooja Murthy,Rekha Prasad,5,0
3604,Bhavana Rao,Lakshmi Kulkarni,5,0
3650,Prakash Reddy,Rekha Bhat,5,0
3769,Joseph Prasad,Yashwanth Bhat,5,3
3786,Vinutha Kumar,Yashwanth Naik,5,0
3790,Chetan Reddy,Mary Bhat,5,1
3792,Fatima Shetty,Nagaraj Patil,5,7
3817,Kiran Reddy,Manjunath Rao,5,7
3882,Mary Reddy,Suresh Iyengar,5,5
3914,Fatima Kumar,Imran Nayak,5,0
3995,Yashwanth Kulkarni,Yashwanth Reddy,5,5
4000,Ashwini Iyengar,Yashwanth Reddy,5,4
4064,Manjunath Iyengar,Yashwanth Reddy,5,5
4265,Deepak Hegde,Shivakumar Shetty,5,8
4266,Nagaraj Patil,Shivakumar Shetty,5,2
4271,Fatima Hegde,Yashwanth Bhat,5,3
4282,Anitha Reddy,Joseph Shetty,5,4
4308,Chetan Kulkarni,Mary Murthy,5,8
4404,Basavaraj Patil,Chetan Kulkarni,5,2
4406,Basavaraj Patil,Deepak Patil,5,2
4424,Girish Murthy,Vinutha Hegde,5,0
4473,Lakshmi Shetty,Suresh Desai,5,0
4491,Kiran Prasad,Manjunath Kulkarni,5,0
4519,Manjunath Desai,Shivakumar Shetty,5,8
4543,Joseph Iyengar,Yashwanth Hegde,5,6
4585,Basavaraj Rao,Imran Reddy,5,0
4597,Bhavana Nayak,Suresh Nayak,5,2
4600,Prakash Kulkarni,Suresh Nayak,5,7
4606,Joseph Murthy,Manjunath Kumar,5,3
4708,Rekha Gowda,Rekha Reddy,5,0
4745,Fatima Iyengar,Yashwanth Patil,5,1
4792,Chetan Kulkarni,Prakash Reddy,5,0
4796,Ashwini Shetty,Prakash Reddy,5,0
4808,Joseph Patil,Manjunath Desai,5,3
4815,Basavaraj Murthy,Deepak Rao,5,7
4910,Rekha Kulkarni,Yashwanth Bhat,5,3
4921,Fatima Desai,Mary Shetty,5,0
4948,Ashwini Reddy,Nagaraj Bhat,5,3
4996,Prakash Gowda,Ravi Hegde,5,0
4998,Bhavana Naik,Rekha Gowda,5,3
5057,Anitha Bhat,Manjunath Prasad,5,7
5203,Chetan Prasad,Ravi Shetty,5,6
5314,Joseph Reddy,Rekha Shetty,5,2
5315,Deepak Kumar,Joseph Nayak,5,0
5344,Mary Bhat,Pooja Desai,5,0
5463,Lakshmi Nayak,Mary Reddy,5,1
5470,Basavaraj Hegde,Basavaraj Prasad,5,0
5492,Anitha Patil,Girish Murthy,5,0
5555,Basavaraj Desai,Lakshmi Rao,5,7
5593,Prakash Kumar,Prakash Patil,5,0
5661,Lakshmi Nayak,Vinutha Patil,5,1
5824,Anitha Nayak,Ravi Hegde,5,0
5869,Suresh Reddy,Yashwanth Reddy,5,5
5893,Imran Nayak,Kiran Nayak,5,0
5955,Manjunath Gowda,Yashwanth Gowda,5,0
5978,Lakshmi Kumar,Suresh Hegde,5,4
6001,Mary Reddy,Shivakumar Reddy,5,5
6005,Anitha Murthy,Ashwini Naik,5,5
6010,Girish Murthy,Yashwanth Nayak,5,0
6073,Imran Reddy,Joseph Reddy,5,2
6096,Kiran Hegde,Vinutha Kulkarni,5,3
6127,Bhavana Kulkarni,Vinutha Gowda,5,0
6164,Lakshmi Hegde,Mary Bhat,5,1
6165,Manjunath Naik,Prakash Bhat,5,0
6221,Joseph Prasad,Pooja Murthy,5,0
6415,Chetan Prasad,Manjunath Desai,5,6
6501,Basavaraj Patil,Nagaraj Prasad,5,2
6530,Anitha Murthy,Rekha Desai,5,0
6537,Joseph Desai,Mary Naik,5,7
6607,Anitha Iyengar,Deepak Bhat,5,0
6658,Fatima Shetty,Rekha Shetty,5,7
6663,Imran Nayak,Suresh Shetty,5,0
6785,Chetan Kulkarni,Shivakumar Murthy,5,0
6805,Manjunath Rao,Vinutha Reddy,5,0
6809,Vinutha Naik,Vinutha Reddy,5,0
6815,Manjunath Gowda,Mary Hegde,5,5
6816,Mary Hegde,Nagaraj Patil,5,5
6888,Anitha Naik,Shivakumar Bhat,5,0
6908,Anitha Murthy,Anitha Prasad,5,0
6930,Mary Shetty,Rekha Shetty,5,3
7001,Bhavana Shetty,Ravi Shetty,5,0
7009,Bhavana Gowda,Suresh Murthy,5,1
7028,Lakshmi Shetty,Vinutha Rao,5,0
7110,Chetan Reddy,Vinutha Hegde,5,1
7112,Joseph Nayak,Prakash Iyengar,5,5
7156,Prakash Iyengar,Yashwanth Reddy,5,5
7239,Girish Rao,Manjunath Shetty,5,4
7255,Imran Shetty,Vinutha Reddy,5,0
7263,Ashwini Kulkarni,Chetan Desai,5,0
7267,Anitha Nayak,Manjunath Iyengar,5,0
7286,Nagaraj Kumar,Prakash Gowda,5,0
7331,Yashwanth Patil,Yashwanth Reddy,5,5
7366,Deepak Prasad,Manjunath Kulkarni,5,0
7370,Bhavana Nayak,Deepak Patil,5,2
7396,Pooja Murthy,Pooja Shetty,5,6
7437,Manjunath Rao,Yashwanth Rao,5,0
7473,Suresh Gowda,Vinutha Iyengar,5,0
7554,Bhavana Rao,Girish Patil,5,0
7657,Joseph Kumar,Prakash Reddy,5,2
7752,Bhavana Gowda,Girish Reddy,5,1
7755,Ashwini Desai,Vinutha Gowda,5,0
7820,Joseph Patil,Mary Kulkarni,5,3
7826,Manjunath Nayak,Pooja Gowda,5,5
7834,Basavaraj Bhat,Fatima Kumar,5,2
7845,Chetan Bhat,Ravi Gowda,5,3
7859,Deepak Nayak,Suresh Prasad,5,0
7943,Manjunath Kulkarni,Ravi Murthy,5,0
7986,Shivakumar Naik,Yashwanth Reddy,5,5
8138,Shivakumar Naik,Yashwanth Nayak,5,5
8213,Pooja Rao,Yashwanth Kulkarni,5,7
8270,Kiran Hegde,Yashwanth Hegde,5,3
8289,Kiran Iyengar,Vinutha Prasad,5,0
8344,Rekha Murthy,Yashwanth Murthy,5,7
8364,Girish Kulkarni,Rekha Murthy,5,5
8405,Rekha Desai,Shivakumar Patil,5,0
8512,Rekha Prasad,Suresh Desai,5,0
8547,Chetan Kulkarni,Vinutha Shetty,5,0
8631,Imran Gowda,Kiran Patil,5,0
8643,Manjunath Kulkarni,Nagaraj Bhat,5,3
8696,Joseph Shetty,Lakshmi Murthy,5,4
8709,Bhavana Nayak,Fatima Gowda,5,2
8747,Nagaraj Patil,Shivakumar Desai,5,2
8795,Bhavana Naik,Pooja Gowda,5,3
8879,Ashwini Murthy,Mary Iyengar,5,0
8891,Girish Hegde,Pooja Shetty,5,4
9033,Shivakumar Hegde,Yashwanth Rao,5,1
9034,Ravi Kumar,Yashwanth Rao,5,0
9109,Manjunath Hegde,Pooja Iyengar,5,5
9205,Manjunath Gowda,Shivakumar Prasad,5,0
9209,Bhavana Gowda,Prakash Shetty,5,1
9277,Lakshmi Shetty,Suresh Reddy,5,0
9308,Imran Reddy,Vinutha Rao,5,0
9346,Shivakumar Bhat,Yashwanth Patil,5,0
9361,Joseph Prasad,Vinutha Patil,5,2
9363,Lakshmi Prasad,Ravi Hegde,5,0
9375,Nagaraj Bhat,Pooja Iyengar,5,3
9440,Basavaraj Patil,Imran Naik,5,2
9499,Fatima Iyengar,Girish Shetty,5,1
9503,Nagaraj Gowda,Rekha Murthy,5,7
9511,Fatima Hegde,Shivakumar Prasad,5,0
9520,Basavaraj Murthy,Girish Patil,5,0
9549,Bhavana Shetty,Imran Gowda,5,0
9575,Kiran Patil,Ravi Hegde,5,0
9630,Deepak Patil,Rekha Gowda,5,2
9767,Pooja Kumar,Shivakumar Shetty,5,8
9824,Ashwini Desai,Nagaraj Prasad,5,0
9856,Bhavana Nayak,Girish Bhat,5,2
9985,Basavaraj Iyengar,Vinutha Gowda,5,3
10053,Anitha Desai,Shivakumar Shetty,5,8
10127,Lakshmi Kumar,Pooja Desai,5,4
10160,Anitha Desai,Chetan Kulkarni,5,0
10242,Ashwini Kulkarni,Bhavana Gowda,5,1
10265,Imran Shetty,Manjunath Gowda,5,0
10315,Kiran Desai,Manjunath Prasad,5,0
10334,Basavaraj Nayak,Nagaraj Bhat,5,3
10341,Ashwini Desai,Prakash Gowda,5,0
10387,Nagaraj Bhat,Vinutha Rao,5,3
10450,Basavaraj Desai,Nagaraj Bhat,5,3
10515,Manjunath Gowda,Manjunath Patil,5,0
10635,Lakshmi Patil,Pooja Hegde,5,0
10668,Deepak Gowda,Yashwanth Iyengar,5,7
10712,Bhavana Rao,Deepak Rao,5,7
10742,Ashwini Reddy,Bhavana Naik,5,3
10843,Chetan Kulkarni,Girish Iyengar,5,0
10908,Girish Reddy,Mary Murthy,5,8
10981,Pooja Murthy,Suresh Iyengar,5,0
11090,Bhavana Nayak,Deepak Gowda,5,2
11109,Pooja Naik,Shivakumar Naik,5,5
11110,Fatima Iyengar,Shivakumar Hegde,5,1
11187,Joseph Prasad,Lakshmi Patil,5,0
11208,Basavaraj Desai,Mary Desai,5,0
11217,Ashwini Hegde,Yashwanth Hegde,5,0
11265,Nagaraj Kulkarni,Suresh Nayak,5,4
11348,Bhavana Kumar,Lakshmi Murthy,5,0
11351,Nagaraj Rao,Prakash Patil,5,0
11408,Deepak Gowda,Manjunath Prasad,5,0
11432,Chetan Iyengar,Lakshmi Nayak,5,1
11442,Anitha Reddy,Deepak Murthy,5,0
11475,Mary Kumar,Vinutha Nayak,5,0
11487,Imran Patil,Joseph Prasad,5,0
11545,Imran Rao,Rekha Shetty,5,8
11569,Joseph Patil,Nagaraj Gowda,5,3
11633,Lakshmi Kulkarni,Nagaraj Prasad,5,0
11654,Manjunath Nayak,Nagaraj Murthy,5,5
11672,Fatima Gowda,Kiran Hegde,5,1
11685,Ashwini Kumar,Lakshmi Hegde,5,1
11766,Chetan Gowda,Chetan Kulkarni,5,0
11776,Pooja Shetty,Ravi Kulkarni,5,6
11790,Lakshmi Kulkarni,Pooja Naik,5,0
11856,Deepak Rao,Yashwanth Hegde,5,7
12056,Basavaraj Iyengar,Suresh Nayak,5,3
12060,Ashwini Desai,Vinutha Reddy,5,0
12091,Imran Rao,Yashwanth Patil,5,8
12128,Kiran Naik,Shivakumar Shetty,5,8
12192,Bhavana Gowda,Ravi Gowda,5,1
12304,Chetan Bhat,Shivakumar Naik,5,5
12352,Manjunath Desai,Ravi Bhat,5,8
12391,Nagaraj Bhat,Suresh Reddy,5,3
12415,Basavaraj Gowda,Pooja Gowda,5,3
12459,Pooja Gowda,Suresh Reddy,5,3
12486,Deepak Nayak,Girish Patil,5,0
12503,Pooja Rao,Shivakumar Shetty,5,7
12519,Kiran Desai,Prakash Kumar,5,0
12602,Joseph Patil,Yashwanth Patil,5,3
12610,Fatima Kulkarni,Girish Hegde,5,3
12654,Chetan Kulkarni,Manjunath Bhat,5,0
12737,Chetan Prasad,Vinutha Nayak,5,6
12769,Suresh Desai,Suresh Nayak,5,0
12809,Imran Murthy,Shivakumar Shetty,5,8
12877,Chetan Kulkarni,Girish Patil,5,0
12907,Manjunath Shetty,Ravi Patil,5,4
12981,Basavaraj Bhat,Lakshmi Kumar,5,2
12983,Ashwini Rao,Rekha Rao,5,0
13030,Prakash Patil,Shivakumar Kulkarni,5,0
13066,Deepak Kumar,Vinutha Kumar,5,0
13071,Anitha Shetty,Mary Gowda,5,0
13077,Girish Kulkarni,Girish Rao,5,5
13078,Girish Kulkarni,Nagaraj Kulkarni,5,5
13260,Lakshmi Hegde,Yashwanth Murthy,5,1
13332,Imran Prasad,Suresh Hegde,5,0
13464,Nagaraj Bhat,Rekha Nayak,5,3
13498,Joseph Iyengar,Pooja Shetty,5,6
13536,Kiran Desai,Vinutha Kumar,5,0
13555,Basavaraj Patil,Prakash Rao,5,2
13596,Bhavana Gowda,Nagaraj Shetty,5,1
13644,Basavaraj Gowda,Kiran Prasad,5,0
13907,Lakshmi Kulkarni,Ravi Shetty,5,0
13913,Nagaraj Patil,Suresh Reddy,5,2
13916,Deepak Prasad,Fatima Hegde,5,0
13993,Ashwini Iyengar,Imran Reddy,5,4
14002,Mary Murthy,Prakash Patil,5,8
14061,Chetan Reddy,Joseph Kumar,5,1
14072,Bhavana Rao,Mary Naik,5,7
14075,Joseph Shetty,Shivakumar Desai,5,4
14112,Basavaraj Gowda,Rekha Prasad,5,0
14268,Manjunath Nayak,Yashwanth Bhat,5,5
14302,Pooja Shetty,Shivakumar Murthy,5,6
14317,Kiran Naik,Ravi Iyengar,5,0
14401,Ashwini Desai,Ashwini Gowda,5,0
14445,Basavaraj Prasad,Shivakumar Naik,5,5
14619,Shivakumar Prasad,Shivakumar Reddy,5,0
14628,Manjunath Shetty,Yashwanth Patil,5,4
14650,Bhavana Gowda,Manjunath Hegde,5,1
14651,Bhavana Gowda,Rekha Bhat,5,1
14658,Lakshmi Iyengar,Rekha Rao,5,0
14672,Anitha Shetty,Joseph Hegde,5,7
