ComplainantID,CaseMasterID,ComplainantName,AgeYear,Gender,Occupation,Religion,Caste
73,73,Ashwini Desai,40,M,Daily Wage,Jain,Not Recorded
75,75,Pooja Prasad,26,M,Farmer,Hindu,OBC
77,77,Vinutha Patil,23,F,Farmer,Jain,OBC
79,79,Girish Patil,33,M,Unemployed,Christian,Not Recorded
81,81,Pooja Hegde,18,M,Driver,Christian,ST
83,83,Joseph Desai,58,F,IT Professional,Christian,OBC
85,85,Fatima Murthy,55,F,Unemployed,Muslim,General
87,87,Rekha Desai,62,M,Farmer,Muslim,Not Recorded
89,89,Kiran Desai,59,M,Unemployed,Hindu,Not Recorded
91,91,Girish Patil,28,F,Business,Muslim,General
93,93,Chetan Shetty,44,F,Govt Employee,Muslim,Not Recorded
95,95,Joseph Patil,66,F,Unemployed,Other,Not Recorded
97,97,Yashwanth Bhat,30,F,Farmer,Christian,ST
99,99,Kiran Hegde,51,F,Unemployed,Muslim,OBC
101,101,Ravi Rao,22,M,Daily Wage,Hindu,OBC
103,103,Ravi Kulkarni,23,M,Driver,Muslim,OBC
105,105,Manjunath Bhat,26,M,IT Professional,Muslim,General
107,107,Chetan Kulkarni,65,F,Daily Wage,Muslim,ST
109,109,Chetan Murthy,45,F,Student,Muslim,General
111,111,Deepak Kulkarni,38,F,Farmer,Muslim,Not Recorded
113,113,Kiran Hegde,39,F,Business,Muslim,Not Recorded
115,115,Joseph Gowda,48,M,Student,Christian,ST
117,117,Rekha Kumar,18,M,Business,Christian,ST
119,119,Yashwanth Prasad,55,M,Student,Christian,Not Recorded
121,121,Nagaraj Kumar,32,F,IT Professional,Muslim,General
123,123,Joseph Prasad,43,F,Govt Employee,Christian,SC
125,125,Shivakumar Reddy,28,M,Unemployed,Hindu,OBC
127,127,Vinutha Nayak,45,M,Unemployed,Jain,Not Recorded
129,129,Nagaraj Shetty,37,F,IT Professional,Hindu,SC
131,131,Shivakumar Kulkarni,21,F,IT Professional,Other,OBC
133,133,Nagaraj Iyengar,60,M,Unemployed,Jain,OBC
135,135,Mary Desai,52,M,Student,Muslim,Not Recorded
137,137,Deepak Iyengar,41,F,Farmer,Hindu,OBC
139,139,Suresh Murthy,47,M,Business,Other,ST
141,141,Bhavana Naik,61,M,Student,Muslim,General
143,143,Manjunath Hegde,22,M,Student,Christian,General
145,145,Ravi Kumar,40,M,Unemployed,Other,General
147,147,Mary Murthy,64,M,Govt Employee,Hindu,Not Recorded
149,149,Bhavana Shetty,35,F,Driver,Muslim,SC
151,151,Prakash Shetty,25,F,Unemployed,Other,General
153,153,Imran Kumar,47,F,IT Professional,Other,SC
155,155,Yashwanth Hegde,23,M,Daily Wage,Other,ST
157,157,Anitha Hegde,67,F,Driver,Jain,SC
159,159,Prakash Kulkarni,25,M,Business,Other,General
161,161,Fatima Kulkarni,46,F,Unemployed,Muslim,General
163,163,Fatima Bhat,53,M,Driver,Jain,SC
165,165,Ashwini Kulkarni,60,M,Student,Muslim,General
167,167,Ashwini Murthy,52,F,Farmer,Other,OBC
169,169,Joseph Desai,39,M,Daily Wage,Jain,ST
171,171,Rekha Patil,61,F,IT Professional,Hindu,General
173,173,Rekha Naik,56,M,Govt Employee,Hindu,Not Recorded
175,175,Anitha Prasad,22,M,Govt Employee,Other,OBC
177,177,Vinutha Murthy,19,F,Govt Employee,Jain,ST
179,179,Pooja Kumar,38,F,Govt Employee,Hindu,OBC
181,181,Joseph Hegde,46,M,Unemployed,Muslim,General
183,183,Mary Naik,27,F,Daily Wage,Hindu,OBC
185,185,Pooja Reddy,61,F,Student,Jain,ST
187,187,Deepak Prasad,63,F,Student,Muslim,General
189,189,Ashwini Kulkarni,18,M,Driver,Other,General
191,191,Nagaraj Prasad,20,F,Business,Hindu,SC
193,193,Fatima Kumar,66,F,Student,Christian,Not Recorded
195,195,Imran Iyengar,62,M,Business,Jain,OBC
197,197,Shivakumar Bhat,22,F,Business,Muslim,ST
199,199,Basavaraj Patil,36,F,Business,Muslim,ST
201,201,Pooja Gowda,19,M,Daily Wage,Christian,Not Recorded
203,203,Nagaraj Naik,20,M,Daily Wage,Jain,General
205,205,Deepak Nayak,41,F,Unemployed,Other,ST
207,207,Imran Reddy,48,M,Farmer,Jain,Not Recorded
209,209,Joseph Gowda,21,M,Daily Wage,Hindu,Not Recorded
211,211,Kiran Murthy,68,F,Student,Jain,ST
213,213,Joseph Reddy,44,F,Student,Hindu,ST
215,215,Suresh Bhat,34,F,Unemployed,Muslim,OBC
217,217,Kiran Prasad,53,M,IT Professional,Jain,ST
219,219,Girish Shetty,29,M,Unemployed,Christian,General
221,221,Fatima Naik,38,M,Unemployed,Jain,ST
223,223,Vinutha Bhat,51,M,Driver,Christian,General
225,225,Pooja Desai,62,F,Business,Christian,SC
227,227,Chetan Gowda,63,M,Unemployed,Other,Not Recorded
229,229,Mary Reddy,54,F,Govt Employee,Hindu,OBC
231,231,Imran Kulkarni,68,F,Student,Hindu,General
233,233,Nagaraj Hegde,61,M,Unemployed,Other,ST
235,235,Girish Bhat,62,M,Daily Wage,Christian,OBC
237,237,Fatima Shetty,21,M,Farmer,Other,Not Recorded
239,239,Manjunath Rao,38,F,IT Professional,Christian,Not Recorded
241,241,Prakash Nayak,49,F,IT Professional,Jain,ST
243,243,Pooja Murthy,21,M,Unemployed,Other,Not Recorded
245,245,Fatima Kumar,28,F,Driver,Christian,OBC
247,247,Pooja Prasad,43,F,Daily Wage,Muslim,General
249,249,Deepak Bhat,33,M,Driver,Other,OBC
251,251,Kiran Prasad,50,M,IT Professional,Other,General
253,253,Fatima Nayak,29,F,Unemployed,Other,SC
255,255,Joseph Bhat,19,M,Driver,Jain,General
257,257,Ravi Iyengar,69,F,Unemployed,Christian,ST
259,259,Suresh Reddy,21,F,Farmer,Jain,ST
261,261,Kiran Reddy,25,F,IT Professional,Hindu,OBC
263,263,Basavaraj Gowda,56,M,Unemployed,Christian,General
265,265,Deepak Patil,40,F,Unemployed,Jain,SC
267,267,Manjunath Bhat,41,M,Driver,Christian,General
269,269,Basavaraj Desai,58,M,Unemployed,Other,ST
271,271,Nagaraj Nayak,57,F,Farmer,Muslim,Not Recorded
273,273,Girish Shetty,58,F,Business,Hindu,General
275,275,Joseph Murthy,33,M,Business,Jain,ST
277,277,Suresh Hegde,37,M,Govt Employee,Christian,OBC
279,279,Yashwanth Patil,58,F,Govt Employee,Jain,SC
281,281,Kiran Iyengar,52,M,Business,Christian,SC
283,283,Manjunath Reddy,18,M,IT Professional,Jain,Not Recorded
285,285,Fatima Rao,48,F,Driver,Hindu,ST
287,287,Joseph Hegde,19,M,Business,Christian,Not Recorded
289,289,Anitha Reddy,54,M,Business,Other,General
291,291,Imran Patil,55,M,Govt Employee,Other,OBC
293,293,Ashwini Iyengar,38,M,Unemployed,Jain,Not Recorded
295,295,Ashwini Prasad,46,M,IT Professional,Other,Not Recorded
297,297,Bhavana Rao,55,M,Govt Employee,Christian,OBC
299,299,Deepak Reddy,52,M,Business,Hindu,OBC
301,301,Ashwini Reddy,27,M,Farmer,Christian,Not Recorded
303,303,Prakash Nayak,54,M,Student,Jain,ST
305,305,Ravi Bhat,46,F,Unemployed,Muslim,Not Recorded
307,307,Joseph Shetty,44,F,Unemployed,Christian,SC
309,309,Bhavana Shetty,53,F,IT Professional,Hindu,OBC
311,311,Basavaraj Rao,56,M,IT Professional,Jain,Not Recorded
313,313,Yashwanth Nayak,36,M,Govt Employee,Christian,General
315,315,Manjunath Patil,41,F,Farmer,Muslim,Not Recorded
317,317,Prakash Nayak,59,F,Govt Employee,Hindu,General
319,319,Vinutha Hegde,31,F,Driver,Hindu,General
321,321,Basavaraj Naik,32,F,Daily Wage,Jain,ST
323,323,Basavaraj Shetty,59,M,Farmer,Other,Not Recorded
325,325,Ashwini Reddy,21,M,Driver,Other,SC
327,327,Kiran Iyengar,51,M,Govt Employee,Other,SC
329,329,Pooja Prasad,59,M,Farmer,Muslim,OBC
331,331,Pooja Reddy,18,M,Driver,Christian,SC
333,333,Lakshmi Reddy,21,M,Student,Muslim,ST
335,335,Prakash Kulkarni,26,F,Business,Other,General
337,337,Mary Prasad,57,F,Driver,Other,Not Recorded
339,339,Basavaraj Reddy,34,M,Business,Hindu,General
341,341,Basavaraj Bhat,31,F,Student,Jain,SC
343,343,Imran Reddy,62,F,Unemployed,Hindu,General
345,345,Vinutha Gowda,24,M,Business,Hindu,ST
347,347,Joseph Rao,46,M,Driver,Christian,SC
349,349,Ravi Rao,30,M,Farmer,Muslim,OBC
351,351,Ashwini Iyengar,50,M,IT Professional,Other,Not Recorded
353,353,Chetan Prasad,32,F,Farmer,Other,SC
355,355,Lakshmi Hegde,19,M,IT Professional,Muslim,General
357,357,Ravi Hegde,23,F,Daily Wage,Jain,General
359,359,Vinutha Hegde,20,F,Student,Muslim,SC
361,361,Manjunath Patil,26,M,Student,Christian,Not Recorded
363,363,Suresh Hegde,30,M,Daily Wage,Christian,ST
365,365,Ashwini Murthy,31,F,Govt Employee,Other,General
367,367,Nagaraj Reddy,45,M,Farmer,Christian,ST
369,369,Suresh Shetty,38,M,Driver,Christian,SC
371,371,Manjunath Rao,54,M,Student,Muslim,OBC
373,373,Imran Patil,28,M,Daily Wage,Christian,ST
375,375,Pooja Reddy,23,M,IT Professional,Muslim,SC
377,377,Joseph Kulkarni,53,M,Farmer,Muslim,OBC
379,379,Bhavana Shetty,36,F,Unemployed,Hindu,ST
381,381,Manjunath Nayak,36,M,Business,Hindu,ST
383,383,Suresh Kulkarni,63,M,Govt Employee,Christian,ST
385,385,Ravi Kulkarni,48,M,Business,Jain,ST
387,387,Vinutha Rao,37,F,Driver,Jain,OBC
389,389,Anitha Gowda,31,M,Farmer,Hindu,Not Recorded
391,391,Mary Kumar,20,M,Business,Christian,Not Recorded
393,393,Suresh Naik,38,F,Farmer,Muslim,ST
395,395,Pooja Reddy,19,M,Farmer,Christian,General
397,397,Basavaraj Nayak,54,M,Farmer,Hindu,General
399,399,Girish Kumar,40,F,Driver,Christian,ST
401,401,Girish Kulkarni,32,M,Unemployed,Christian,Not Recorded
403,403,Kiran Kulkarni,30,F,Farmer,Christian,Not Recorded
405,405,Yashwanth Murthy,37,M,Govt Employee,Other,OBC
407,407,Yashwanth Prasad,46,M,IT Professional,Christian,Not Recorded
409,409,Fatima Murthy,52,F,Farmer,Jain,SC
411,411,Suresh Murthy,45,M,Student,Christian,OBC
413,413,Nagaraj Kulkarni,39,F,Farmer,Christian,SC
415,415,Suresh Nayak,35,F,Farmer,Other,General
417,417,Suresh Bhat,61,M,Business,Hindu,ST
419,419,Imran Murthy,69,M,Daily Wage,Christian,OBC
421,421,Prakash Prasad,44,M,Govt Employee,Hindu,General
423,423,Ashwini Iyengar,69,F,Unemployed,Other,General
425,425,Basavaraj Prasad,46,F,Daily Wage,Muslim,ST
427,427,Anitha Hegde,58,F,Daily Wage,Other,OBC
429,429,Yashwanth Shetty,68,M,IT Professional,Other,General
431,431,Nagaraj Gowda,36,F,Govt Employee,Hindu,General
433,433,Basavaraj Rao,62,M,IT Professional,Other,ST
435,435,Lakshmi Hegde,60,F,Driver,Christian,SC
437,437,Ravi Kumar,41,F,Unemployed,Other,General
439,439,Girish Naik,35,M,Driver,Christian,SC
441,441,Joseph Patil,34,M,Student,Christian,OBC
443,443,Kiran Prasad,66,F,Govt Employee,Christian,ST
445,445,Yashwanth Kumar,59,M,Farmer,Hindu,General
447,447,Bhavana Gowda,58,M,Business,Hindu,OBC
449,449,Deepak Rao,28,M,IT Professional,Hindu,Not Recorded
451,451,Lakshmi Nayak,66,F,Daily Wage,Muslim,SC
453,453,Vinutha Rao,66,M,Farmer,Christian,ST
455,455,Chetan Kumar,32,F,Business,Jain,SC
457,457,Rekha Rao,25,M,IT Professional,Christian,Not Recorded
459,459,Anitha Naik,62,M,IT Professional,Jain,ST
461,461,Mary Desai,52,F,Unemployed,Other,Not Recorded
463,463,Nagaraj Patil,25,M,Farmer,Muslim,SC
465,465,Anitha Patil,19,M,Business,Hindu,SC
467,467,Yashwanth Reddy,47,F,Unemployed,Christian,SC
469,469,Shivakumar Iyengar,63,M,Student,Muslim,OBC
471,471,Mary Reddy,42,M,Govt Employee,Other,SC
473,473,Pooja Nayak,47,M,Driver,Muslim,OBC
475,475,Ravi Patil,65,M,Student,Christian,SC
477,477,Ashwini Patil,52,M,Unemployed,Muslim,General
479,479,Anitha Desai,36,F,Student,Jain,OBC
481,481,Girish Murthy,41,F,Unemployed,Hindu,Not Recorded
483,483,Chetan Kumar,62,F,IT Professional,Other,Not Recorded
485,485,Fatima Gowda,63,F,Business,Hindu,SC
487,487,Joseph Kulkarni,18,M,Farmer,Muslim,SC
489,489,Manjunath Rao,53,M,Driver,Hindu,General
491,491,Joseph Iyengar,53,F,Daily Wage,Jain,OBC
493,493,Ashwini Shetty,25,F,IT Professional,Other,OBC
495,495,Suresh Desai,30,M,Unemployed,Jain,Not Recorded
497,497,Chetan Bhat,18,F,Daily Wage,Jain,SC
499,499,Mary Murthy,55,M,Student,Other,SC
501,501,Suresh Prasad,47,F,Business,Christian,OBC
503,503,Imran Reddy,66,F,Unemployed,Christian,Not Recorded
505,505,Deepak Murthy,67,M,Driver,Muslim,OBC
507,507,Vinutha Murthy,33,M,IT Professional,Jain,Not Recorded
509,509,Fatima Kumar,21,F,Farmer,Hindu,ST
511,511,Manjunath Kulkarni,39,F,Unemployed,Muslim,SC
513,513,Lakshmi Iyengar,61,F,IT Professional,Other,Not Recorded
515,515,Joseph Murthy,55,F,Unemployed,Other,General
517,517,Fatima Murthy,22,F,Business,Muslim,Not Recorded
519,519,Shivakumar Kumar,48,M,Business,Christian,General
521,521,Yashwanth Gowda,50,F,Farmer,Muslim,SC
523,523,Pooja Nayak,21,F,Farmer,Other,General
525,525,Fatima Nayak,58,M,Unemployed,Other,ST
527,527,Fatima Nayak,33,M,Govt Employee,Hindu,OBC
529,529,Lakshmi Kumar,30,M,Farmer,Other,Not Recorded
531,531,Ashwini Patil,70,F,Driver,Other,General
533,533,Bhavana Prasad,63,F,Unemployed,Jain,OBC
535,535,Chetan Hegde,41,F,Govt Employee,Christian,General
537,537,Manjunath Prasad,55,M,Driver,Other,Not Recorded
539,539,Joseph Kumar,49,F,Business,Jain,Not Recorded
541,541,Joseph Reddy,60,M,Farmer,Jain,SC
543,543,Deepak Iyengar,40,M,Govt Employee,Christian,Not Recorded
545,545,Suresh Naik,50,M,Student,Muslim,OBC
547,547,Basavaraj Reddy,60,F,Business,Christian,General
549,549,Joseph Desai,39,M,Unemployed,Jain,ST
551,551,Shivakumar Iyengar,55,F,Unemployed,Jain,SC
553,553,Mary Gowda,61,F,IT Professional,Other,OBC
555,555,Manjunath Murthy,57,F,Daily Wage,Hindu,SC
557,557,Suresh Rao,64,M,Daily Wage,Hindu,OBC
559,559,Lakshmi Prasad,24,M,Farmer,Jain,Not Recorded
561,561,Ravi Gowda,56,M,IT Professional,Hindu,Not Recorded
563,563,Fatima Reddy,25,F,Daily Wage,Muslim,Not Recorded
565,565,Pooja Kumar,67,F,Farmer,Jain,General
567,567,Ashwini Nayak,25,F,Driver,Muslim,Not Recorded
569,569,Ashwini Murthy,19,M,Daily Wage,Jain,SC
571,571,Ravi Kumar,39,M,Govt Employee,Hindu,ST
573,573,Nagaraj Patil,69,M,Driver,Christian,OBC
575,575,Ravi Desai,34,F,Student,Other,OBC
577,577,Kiran Kumar,41,F,Business,Hindu,Not Recorded
579,579,Yashwanth Murthy,50,F,Student,Hindu,Not Recorded
581,581,Anitha Murthy,62,M,Daily Wage,Muslim,Not Recorded
583,583,Deepak Murthy,56,M,Govt Employee,Hindu,ST
585,585,Girish Patil,52,F,Unemployed,Jain,General
587,587,Ravi Gowda,68,M,IT Professional,Jain,OBC
589,589,Shivakumar Hegde,69,F,Student,Hindu,ST
591,591,Deepak Gowda,36,M,Unemployed,Muslim,SC
593,593,Pooja Prasad,46,M,Student,Other,SC
595,595,Fatima Gowda,39,F,Business,Muslim,ST
597,597,Vinutha Murthy,53,F,Unemployed,Hindu,ST
599,599,Fatima Hegde,26,M,Daily Wage,Hindu,Not Recorded
601,601,Anitha Kumar,59,F,Govt Employee,Muslim,General
603,603,Lakshmi Hegde,25,F,IT Professional,Hindu,SC
605,605,Nagaraj Desai,53,M,Business,Hindu,SC
607,607,Shivakumar Hegde,57,M,IT Professional,Jain,General
609,609,Suresh Hegde,40,M,Driver,Hindu,Not Recorded
611,611,Anitha Nayak,25,M,Unemployed,Muslim,ST
613,613,Suresh Desai,27,M,Farmer,Jain,OBC
615,615,Girish Shetty,59,M,Driver,Other,SC
617,617,Basavaraj Prasad,70,M,IT Professional,Hindu,SC
619,619,Imran Reddy,58,M,Govt Employee,Muslim,SC
621,621,Nagaraj Naik,18,M,Driver,Other,OBC
623,623,Girish Kulkarni,32,F,Student,Other,ST
625,625,Prakash Murthy,43,M,Farmer,Christian,General
627,627,Rekha Rao,18,F,Business,Christian,SC
629,629,Vinutha Prasad,56,M,Govt Employee,Other,Not Recorded
631,631,Suresh Shetty,67,M,IT Professional,Muslim,General
633,633,Anitha Reddy,45,F,Business,Hindu,Not Recorded
635,635,Bhavana Murthy,33,M,Daily Wage,Other,General
637,637,Imran Hegde,56,M,Driver,Hindu,Not Recorded
639,639,Manjunath Rao,54,M,Farmer,Hindu,ST
641,641,Girish Naik,34,M,Daily Wage,Muslim,General
643,643,Bhavana Murthy,47,F,Govt Employee,Muslim,SC
645,645,Chetan Iyengar,32,F,Business,Jain,OBC
647,647,Yashwanth Murthy,18,M,Student,Jain,General
649,649,Fatima Reddy,22,M,Farmer,Jain,SC
651,651,Anitha Iyengar,63,F,Daily Wage,Jain,ST
653,653,Bhavana Rao,43,M,Farmer,Hindu,OBC
655,655,Basavaraj Murthy,64,F,IT Professional,Muslim,ST
657,657,Fatima Iyengar,59,M,IT Professional,Jain,OBC
659,659,Anitha Hegde,46,M,Govt Employee,Jain,General
661,661,Chetan Murthy,35,M,Student,Muslim,SC
663,663,Yashwanth Kulkarni,55,F,Unemployed,Hindu,OBC
665,665,Pooja Nayak,38,M,Farmer,Other,ST
667,667,Deepak Patil,70,F,Daily Wage,Other,ST
669,669,Manjunath Reddy,56,M,Unemployed,Other,Not Recorded
671,671,Yashwanth Shetty,62,F,Driver,Jain,ST
673,673,Kiran Kulkarni,42,M,Daily Wage,Hindu,Not Recorded
675,675,Deepak Desai,21,F,Business,Jain,ST
677,677,Joseph Kumar,35,M,Driver,Muslim,SC
679,679,Chetan Rao,50,F,IT Professional,Muslim,OBC
681,681,Ravi Murthy,50,M,Govt Employee,Christian,SC
683,683,Yashwanth Reddy,42,F,Daily Wage,Christian,General
685,685,Imran Reddy,58,F,Business,Muslim,SC
687,687,Basavaraj Nayak,28,M,Student,Muslim,SC
689,689,Deepak Murthy,26,F,Govt Employee,Christian,Not Recorded
691,691,Joseph Shetty,54,M,Farmer,Muslim,Not Recorded
693,693,Ashwini Shetty,55,M,Farmer,Christian,General
695,695,Rekha Prasad,35,F,Student,Muslim,General
697,697,Pooja Kulkarni,51,F,Driver,Other,ST
699,699,Vinutha Kumar,50,F,Daily Wage,Jain,Not Recorded
701,701,Ravi Kumar,34,F,Daily Wage,Muslim,ST
703,703,Nagaraj Iyengar,20,F,Driver,Muslim,OBC
705,705,Basavaraj Shetty,33,M,IT Professional,Jain,SC
707,707,Imran Rao,24,M,Daily Wage,Other,ST
709,709,Lakshmi Rao,45,F,Driver,Jain,OBC
711,711,Yashwanth Kumar,53,F,Farmer,Hindu,ST
713,713,Mary Kumar,35,M,Driver,Muslim,SC
715,715,Fatima Iyengar,61,M,Govt Employee,Christian,General
717,717,Yashwanth Bhat,64,M,Business,Muslim,ST
719,719,Suresh Prasad,66,F,Farmer,Hindu,Not Recorded
721,721,Fatima Bhat,47,F,Student,Muslim,SC
723,723,Chetan Prasad,66,F,Student,Jain,Not Recorded
725,725,Yashwanth Shetty,26,F,Daily Wage,Muslim,General
727,727,Pooja Rao,49,M,Unemployed,Christian,OBC
729,729,Joseph Patil,41,M,Unemployed,Christian,SC
731,731,Kiran Murthy,54,F,Business,Other,Not Recorded
733,733,Fatima Shetty,68,F,Farmer,Muslim,ST
735,735,Chetan Desai,26,F,Govt Employee,Jain,OBC
737,737,Prakash Nayak,70,F,Govt Employee,Hindu,General
739,739,Basavaraj Bhat,56,F,Business,Muslim,SC
741,741,Shivakumar Nayak,51,M,IT Professional,Jain,General
743,743,Rekha Murthy,44,M,IT Professional,Other,Not Recorded
745,745,Joseph Rao,67,M,Govt Employee,Jain,SC
747,747,Fatima Rao,65,F,Driver,Christian,OBC
749,749,Mary Gowda,32,F,Student,Other,SC
751,751,Vinutha Patil,50,M,IT Professional,Christian,SC
753,753,Nagaraj Hegde,34,M,Govt Employee,Christian,OBC
755,755,Rekha Shetty,53,F,Driver,Hindu,ST
757,757,Fatima Bhat,70,M,Driver,Christian,SC
759,759,Imran Desai,40,M,IT Professional,Jain,OBC
761,761,Pooja Reddy,20,F,Driver,Muslim,General
763,763,Mary Nayak,43,M,Driver,Christian,SC
765,765,Manjunath Iyengar,18,F,IT Professional,Christian,ST
767,767,Ashwini Rao,43,F,Business,Muslim,ST
769,769,Prakash Patil,36,F,Student,Hindu,SC
771,771,Lakshmi Kulkarni,60,M,Daily Wage,Hindu,Not Recorded
773,773,Joseph Kulkarni,60,F,Driver,Other,Not Recorded
775,775,Yashwanth Desai,45,M,Student,Jain,Not Recorded
777,777,Pooja Kumar,18,M,IT Professional,Other,ST
779,779,Yashwanth Desai,44,M,IT Professional,Christian,Not Recorded
781,781,Bhavana Hegde,33,M,Business,Other,OBC
783,783,Vinutha Kumar,29,F,Farmer,Other,OBC
785,785,Fatima Prasad,25,M,IT Professional,Other,Not Recorded
787,787,Joseph Kulkarni,29,M,Student,Muslim,OBC
789,789,Shivakumar Rao,32,M,Driver,Hindu,SC
791,791,Basavaraj Nayak,58,M,Daily Wage,Christian,Not Recorded
793,793,Chetan Nayak,53,F,Unemployed,Hindu,General
795,795,Bhavana Gowda,68,M,Unemployed,Jain,ST
797,797,Mary Reddy,52,M,Farmer,Muslim,OBC
799,799,Bhavana Rao,48,M,IT Professional,Jain,Not Recorded
801,801,Prakash Kumar,62,M,Business,Hindu,OBC
803,803,Anitha Shetty,51,F,IT Professional,Other,Not Recorded
805,805,Girish Prasad,24,F,Farmer,Hindu,SC
807,807,Yashwanth Prasad,60,M,Farmer,Muslim,OBC
809,809,Ravi Kulkarni,45,M,Student,Muslim,General
811,811,Joseph Reddy,70,F,Student,Muslim,Not Recorded
813,813,Manjunath Murthy,18,M,Student,Christian,OBC
815,815,Bhavana Patil,65,M,Business,Christian,General
817,817,Mary Desai,54,M,Business,Christian,ST
819,819,Girish Iyengar,22,M,Govt Employee,Muslim,OBC
821,821,Pooja Murthy,58,M,Business,Jain,Not Recorded
823,823,Vinutha Rao,65,M,Student,Hindu,SC
825,825,Mary Desai,27,M,Business,Muslim,General
827,827,Mary Kulkarni,44,M,Business,Jain,SC
829,829,Manjunath Kulkarni,20,M,Driver,Muslim,General
831,831,Pooja Bhat,65,F,Student,Other,SC
833,833,Nagaraj Iyengar,49,M,Business,Jain,OBC
835,835,Imran Patil,70,F,Farmer,Hindu,OBC
837,837,Ashwini Hegde,22,M,Driver,Muslim,Not Recorded
839,839,Fatima Murthy,29,F,IT Professional,Hindu,SC
841,841,Mary Rao,18,M,IT Professional,Muslim,General
843,843,Bhavana Gowda,36,F,Govt Employee,Jain,SC
845,845,Rekha Gowda,47,F,Business,Christian,General
847,847,Nagaraj Iyengar,33,F,Farmer,Christian,General
849,849,Girish Rao,33,F,Student,Muslim,General
851,851,Vinutha Shetty,59,M,Unemployed,Hindu,General
853,853,Mary Murthy,69,M,IT Professional,Jain,SC
855,855,Chetan Naik,59,M,Govt Employee,Muslim,OBC
857,857,Anitha Nayak,50,M,Unemployed,Jain,OBC
859,859,Anitha Kulkarni,61,F,Farmer,Other,Not Recorded
861,861,Yashwanth Kulkarni,53,F,Driver,Muslim,Not Recorded
863,863,Lakshmi Shetty,22,M,Daily Wage,Jain,SC
865,865,Mary Rao,59,F,Business,Other,General
867,867,Chetan Bhat,30,M,Unemployed,Christian,General
869,869,Deepak Nayak,40,M,Driver,Christian,General
871,871,Girish Kumar,35,F,Business,Jain,SC
873,873,Vinutha Prasad,28,M,IT Professional,Christian,ST
875,875,Fatima Gowda,29,F,Govt Employee,Hindu,ST
877,877,Imran Rao,57,M,Govt Employee,Other,General
879,879,Mary Kumar,35,F,Govt Employee,Hindu,Not Recorded
881,881,Bhavana Kumar,25,F,Driver,Muslim,ST
883,883,Prakash Reddy,64,F,Driver,Jain,ST
885,885,Pooja Rao,55,F,Student,Other,General
887,887,Deepak Patil,22,F,IT Professional,Christian,Not Recorded
889,889,Joseph Kulkarni,68,F,Driver,Muslim,ST
891,891,Fatima Rao,49,F,Farmer,Jain,OBC
893,893,Suresh Iyengar,22,M,Student,Christian,SC
895,895,Anitha Bhat,42,M,Driver,Hindu,Not Recorded
897,897,Lakshmi Gowda,39,F,Business,Hindu,ST
899,899,Rekha Prasad,51,M,Daily Wage,Jain,SC
901,901,Imran Shetty,47,M,Student,Other,Not Recorded
903,903,Fatima Hegde,30,M,IT Professional,Christian,OBC
905,905,Pooja Kulkarni,25,M,Driver,Hindu,OBC
907,907,Kiran Nayak,29,M,Student,Jain,SC
909,909,Rekha Kumar,39,M,Daily Wage,Other,SC
