VictimMasterID,CaseMasterID,VictimName,AgeYear,Gender
140,161,Kiran Prasad,39,F
141,163,Ravi Reddy,27,F
142,163,Pooja Patil,59,F
146,167,Chetan Rao,12,F
147,167,Girish Prasad,37,M
151,171,Anitha Desai,70,M
152,171,Bhavana Bhat,64,F
155,175,Anitha Kulkarni,72,M
156,175,Basavaraj Murthy,8,F
158,179,Suresh Iyengar,25,F
159,179,Chetan Bhat,38,M
160,183,Shivakumar Patil,36,M
161,183,Shivakumar Bhat,8,M
162,185,Imran Reddy,60,M
163,185,Vinutha Bhat,69,M
166,191,Ravi Naik,7,F
169,193,Manjunath Bhat,54,F
170,195,Mary Nayak,25,M
171,197,Basavaraj Patil,5,F
174,201,Prakash Reddy,46,F
178,205,Kiran Prasad,20,F
185,211,Yashwanth Prasad,22,M
187,215,Yashwanth Naik,71,M
188,215,Chetan Reddy,52,M
189,217,Anitha Rao,47,F
191,219,Lakshmi Kulkarni,8,F
193,221,Kiran Naik,59,F
197,227,Vinutha Nayak,59,F
198,227,Rekha Rao,54,M
200,229,Yashwanth Prasad,36,F
202,231,Suresh Reddy,58,F
204,233,Rekha Hegde,70,M
206,239,Yashwanth Kulkarni,16,M
207,239,Basavaraj Bhat,8,M
208,241,Anitha Reddy,29,M
209,243,Ashwini Gowda,22,F
212,251,Shivakumar Desai,50,F
214,253,Lakshmi Kumar,25,F
215,255,Chetan Iyengar,23,F
218,259,Lakshmi Patil,24,F
219,263,Prakash Kulkarni,13,F
222,265,Manjunath Desai,62,F
229,275,Yashwanth Hegde,56,M
230,275,Ravi Rao,57,M
232,277,Manjunath Kulkarni,39,F
233,277,Nagaraj Gowda,28,F
235,281,Vinutha Patil,35,F
237,283,Bhavana Murthy,60,F
239,285,Bhavana Iyengar,37,F
242,287,Suresh Kumar,42,F
244,293,Yashwanth Nayak,49,F
245,293,Rekha Desai,48,F
247,295,Chetan Hegde,39,F
248,295,Kiran Kumar,19,M
250,297,Ashwini Shetty,10,M
251,299,Prakash Naik,54,M
252,301,Lakshmi Rao,8,F
253,303,Shivakumar Hegde,55,F
255,307,Kiran Shetty,66,M
256,309,Chetan Bhat,47,F
257,309,Bhavana Desai,60,M
258,311,Kiran Hegde,14,M
259,311,Fatima Reddy,64,F
260,313,Lakshmi Kumar,29,F
262,315,Girish Patil,45,F
264,317,Rekha Nayak,21,F
265,317,Girish Rao,19,F
266,319,Rekha Desai,66,F
267,321,Yashwanth Prasad,74,F
269,327,Mary Iyengar,25,F
272,331,Pooja Naik,20,M
274,333,Imran Iyengar,15,F
275,333,Shivakumar Iyengar,39,F
278,335,Shivakumar Kulkarni,40,M
281,337,Chetan Shetty,35,M
282,337,Basavaraj Bhat,34,M
283,339,Fatima Prasad,49,F
286,343,Girish Kumar,31,F
287,343,Ashwini Iyengar,10,F
289,345,Nagaraj Murthy,58,F
291,349,Basavaraj Kumar,54,F
293,351,Nagaraj Rao,62,M
295,353,Lakshmi Gowda,39,F
299,361,Joseph Murthy,13,F
301,363,Anitha Rao,60,F
302,363,Bhavana Kulkarni,75,F
305,369,Anitha Kumar,69,M
306,369,Manjunath Kumar,16,F
308,373,Anitha Rao,47,M
310,375,Prakash Naik,54,F
312,377,Basavaraj Kulkarni,69,F
313,377,Joseph Nayak,23,M
315,379,Pooja Kumar,71,M
316,379,Manjunath Patil,10,M
318,383,Suresh Naik,37,M
320,387,Bhavana Shetty,68,F
321,387,Shivakumar Kulkarni,57,M
323,389,Bhavana Iyengar,34,F
325,391,Anitha Murthy,53,F
326,393,Shivakumar Murthy,60,F
328,395,Fatima Kumar,61,M
331,399,Deepak Naik,58,F
333,401,Imran Patil,71,M
334,401,Fatima Nayak,44,F
338,409,Kiran Prasad,74,M
339,411,Suresh Kulkarni,62,M
341,413,Shivakumar Bhat,29,M
344,417,Nagaraj Kumar,42,M
346,419,Girish Kulkarni,66,F
348,421,Shivakumar Kumar,60,M
349,423,Anitha Murthy,35,F
350,423,Ashwini Kumar,31,F
351,425,Ravi Bhat,58,M
355,431,Lakshmi Prasad,9,M
357,433,Fatima Desai,55,M
358,435,Mary Iyengar,53,F
361,437,Bhavana Nayak,38,M
362,439,Manjunath Reddy,43,M
363,439,Mary Desai,17,M
366,441,Bhavana Desai,29,F
367,443,Mary Iyengar,17,M
368,443,Kiran Murthy,55,M
370,445,Yashwanth Kulkarni,38,M
371,451,Joseph Murthy,27,F
372,453,Rekha Rao,55,F
375,457,Anitha Gowda,24,F
376,459,Shivakumar Kumar,30,F
377,461,Chetan Desai,39,M
382,467,Rekha Nayak,67,F
383,469,Manjunath Kumar,61,F
384,469,Basavaraj Naik,31,M
386,475,Anitha Rao,72,F
387,475,Kiran Bhat,7,F
389,477,Imran Patil,72,M
391,479,Bhavana Rao,29,F
392,479,Girish Hegde,45,F
395,487,Pooja Bhat,74,M
396,487,Prakash Nayak,65,M
400,491,Pooja Kumar,12,F
401,491,Mary Kulkarni,26,F
402,493,Fatima Desai,11,F
404,495,Anitha Nayak,34,M
408,499,Ashwini Murthy,63,F
409,501,Rekha Rao,63,F
410,501,Joseph Patil,62,F
414,509,Imran Kumar,57,F
416,511,Rekha Rao,24,M
417,511,Mary Murthy,32,F
420,515,Vinutha Gowda,47,F
421,521,Vinutha Hegde,62,F
424,525,Suresh Nayak,28,F
426,529,Mary Bhat,60,M
427,533,Anitha Naik,57,F
428,535,Chetan Gowda,63,F
430,537,Fatima Murthy,23,F
431,537,Chetan Naik,7,M
433,539,Manjunath Rao,49,M
437,551,Chetan Patil,74,M
438,553,Deepak Nayak,9,M
440,555,Basavaraj Hegde,54,F
442,557,Shivakumar Gowda,28,M
443,557,Imran Desai,20,F
445,559,Basavaraj Kulkarni,51,M
450,565,Vinutha Kumar,70,F
451,565,Kiran Desai,14,F
452,567,Anitha Murthy,48,M
454,569,Prakash Desai,58,M
458,573,Basavaraj Shetty,7,M
461,577,Nagaraj Gowda,57,F
464,581,Fatima Prasad,48,F
466,583,Basavaraj Kumar,29,F
467,585,Pooja Iyengar,14,M
471,591,Imran Bhat,62,M
473,593,Joseph Reddy,37,M
474,595,Bhavana Bhat,53,F
478,601,Yashwanth Reddy,43,F
480,603,Nagaraj Reddy,19,M
482,605,Pooja Kumar,20,F
484,607,Bhavana Iyengar,49,M
486,609,Ravi Prasad,68,F
487,609,Chetan Nayak,73,M
490,611,Vinutha Naik,50,F
491,611,Mary Patil,72,M
493,613,Suresh Desai,5,F
495,615,Nagaraj Naik,60,M
497,617,Yashwanth Desai,42,M
498,617,Shivakumar Gowda,32,F
501,621,Suresh Gowda,70,M
504,625,Vinutha Murthy,16,M
505,627,Girish Rao,62,M
507,631,Joseph Kumar,7,F
509,633,Rekha Prasad,29,F
511,635,Joseph Patil,16,M
512,635,Basavaraj Gowda,25,F
514,637,Lakshmi Hegde,72,F
516,639,Prakash Kulkarni,43,M
518,641,Basavaraj Reddy,54,M
519,643,Kiran Patil,74,F
520,645,Ashwini Shetty,27,M
521,645,Joseph Gowda,69,F
523,647,Fatima Kumar,5,F
525,651,Rekha Kumar,7,F
528,655,Girish Naik,66,F
531,659,Nagaraj Patil,35,M
533,661,Rekha Rao,16,M
535,663,Kiran Gowda,12,M
537,665,Girish Kulkarni,72,M
538,665,Lakshmi Bhat,52,F
541,669,Chetan Desai,74,F
543,671,Ashwini Kulkarni,36,M
544,673,Rekha Hegde,21,F
545,677,Bhavana Rao,64,F
547,679,Ravi Prasad,16,M
550,683,Ashwini Desai,26,M
551,683,Chetan Hegde,62,M
554,687,Mary Gowda,45,F
555,687,Manjunath Hegde,65,M
558,691,Yashwanth Prasad,30,M
561,693,Lakshmi Rao,55,M
563,695,Fatima Murthy,19,M
564,697,Vinutha Iyengar,22,F
566,699,Prakash Rao,52,F
567,701,Girish Shetty,73,M
568,703,Lakshmi Nayak,24,M
570,705,Anitha Nayak,43,F
571,707,Yashwanth Nayak,11,F
573,709,Bhavana Bhat,71,F
574,709,Nagaraj Reddy,61,M
577,711,Joseph Gowda,37,M
580,713,Ashwini Hegde,45,F
581,713,Vinutha Prasad,42,M
582,715,Manjunath Murthy,48,F
584,719,Vinutha Hegde,16,F
589,725,Mary Nayak,11,F
592,729,Vinutha Patil,36,F
595,731,Vinutha Iyengar,40,F
596,731,Ashwini Kumar,30,M
598,733,Chetan Gowda,8,M
601,739,Imran Rao,8,M
602,739,Ravi Kumar,39,F
605,741,Ravi Naik,69,M
607,743,Ashwini Hegde,54,M
609,747,Rekha Nayak,34,M
611,749,Mary Gowda,15,M
612,749,Yashwanth Reddy,6,F
614,753,Prakash Gowda,18,F
617,755,Joseph Hegde,40,F
619,763,Anitha Iyengar,40,M
622,767,Anitha Rao,55,M
624,769,Mary Hegde,55,F
626,773,Anitha Kulkarni,8,F
628,779,Manjunath Kulkarni,15,M
629,779,Girish Prasad,43,F
631,781,Basavaraj Prasad,40,F
633,783,Pooja Rao,65,F
634,787,Kiran Kulkarni,25,F
636,789,Basavaraj Patil,7,M
637,789,Mary Kulkarni,49,M
639,791,Ashwini Hegde,24,F
642,793,Suresh Patil,71,F
643,793,Manjunath Rao,73,F
644,795,Vinutha Kumar,56,F
646,799,Imran Iyengar,44,F
647,801,Pooja Shetty,74,M
650,803,Suresh Kulkarni,13,M
651,803,Suresh Kumar,64,M
653,807,Basavaraj Patil,24,M
654,807,Bhavana Nayak,24,M
656,809,Mary Patil,5,M
657,809,Shivakumar Murthy,42,M
658,811,Vinutha Rao,67,M
660,813,Kiran Murthy,24,F
661,813,Ashwini Desai,34,M
663,815,Suresh Shetty,72,M
665,817,Anitha Prasad,66,M
666,817,Imran Shetty,42,F
668,819,Manjunath Rao,45,M
669,821,Ravi Iyengar,54,M
670,821,Rekha Reddy,10,F
671,823,Joseph Hegde,32,F
676,831,Anitha Hegde,43,M
678,833,Yashwanth Prasad,18,M
681,835,Girish Naik,74,M
683,839,Chetan Prasad,37,F
685,841,Prakash Hegde,34,F
686,841,Deepak Desai,15,F
689,843,Mary Kumar,24,M
690,847,Prakash Prasad,9,F
691,847,Bhavana Gowda,43,F
692,849,Kiran Bhat,65,M
693,849,Yashwanth Gowda,50,M
694,853,Kiran Rao,58,F
696,857,Kiran Patil,65,M
698,859,Ravi Rao,24,M
699,861,Vinutha Reddy,57,F
701,863,Suresh Shetty,8,M
702,863,Yashwanth Kulkarni,40,F
703,867,Girish Gowda,5,M
704,869,Girish Prasad,8,F
705,871,Mary Shetty,25,M
706,873,Bhavana Murthy,51,F
714,881,Fatima Kumar,33,M
715,881,Fatima Bhat,13,M
717,883,Joseph Murthy,50,M
718,883,Shivakumar Patil,49,F
720,885,Bhavana Rao,73,M
722,887,Fatima Hegde,71,M
724,889,Basavaraj Hegde,66,M
726,891,Imran Prasad,12,M
727,891,Suresh Gowda,19,M
729,895,Joseph Iyengar,67,F
730,895,Deepak Kulkarni,29,M
733,899,Rekha Shetty,38,M
736,901,Kiran Nayak,70,F
738,903,Basavaraj Rao,34,F
740,907,Fatima Bhat,72,M
743,911,Shivakumar Kumar,7,M
744,911,Suresh Kumar,14,F
745,913,Deepak Hegde,57,F
748,915,Fatima Kumar,73,M
751,917,Mary Kulkarni,36,M
753,919,Deepak Bhat,24,M
757,927,Ashwini Iyengar,49,M
760,931,Prakash Bhat,47,M
761,933,Prakash Rao,66,F
762,933,Ashwini Kumar,49,M
763,935,Chetan Prasad,59,F
765,937,Deepak Gowda,65,F
766,937,Girish Murthy,30,M
768,939,Nagaraj Gowda,27,M
769,941,Girish Kumar,49,M
770,941,Nagaraj Desai,52,M
773,945,Mary Hegde,46,F
775,949,Fatima Patil,67,F
777,953,Lakshmi Kulkarni,22,F
781,957,Deepak Patil,60,F
783,959,Imran Shetty,75,F
784,959,Ashwini Nayak,61,F
788,963,Imran Kulkarni,20,F
789,965,Mary Murthy,24,M
791,967,Basavaraj Patil,70,M
792,967,Yashwanth Reddy,20,M
796,971,Pooja Kulkarni,54,F
799,973,Yashwanth Murthy,19,F
801,975,Vinutha Naik,47,F
802,977,Joseph Kulkarni,41,F
806,981,Nagaraj Kumar,19,F
808,983,Kiran Kumar,73,M
809,985,Fatima Kumar,69,F
810,985,Girish Hegde,57,M
811,987,Lakshmi Desai,31,M
813,989,Ravi Patil,38,M
815,991,Lakshmi Nayak,36,F
817,993,Suresh Kumar,75,M
819,1001,Deepak Desai,52,M
823,1007,Ravi Iyengar,59,F
825,1011,Bhavana Naik,64,M
827,1013,Mary Kumar,26,F
828,1013,Pooja Prasad,56,M
830,1015,Kiran Gowda,24,M
832,1017,Suresh Hegde,71,F
833,1017,Mary Kulkarni,61,M
838,1027,Fatima Bhat,24,F
839,1029,Nagaraj Gowda,71,F
840,1029,Mary Rao,12,F
843,1031,Ashwini Bhat,63,F
847,1035,Shivakumar Reddy,43,F
848,1035,Lakshmi Desai,15,M
850,1037,Ashwini Rao,10,F
852,1041,Fatima Nayak,20,F
853,1045,Kiran Kulkarni,29,M
854,1045,Yashwanth Hegde,8,M
856,1047,Lakshmi Patil,43,M
858,1049,Suresh Rao,62,M
860,1051,Kiran Prasad,35,F
862,1053,Kiran Prasad,39,M
864,1055,Nagaraj Hegde,39,M
865,1055,Girish Naik,73,F
867,1057,Prakash Gowda,34,F
869,1059,Yashwanth Desai,32,M
871,1061,Shivakumar Nayak,29,F
872,1061,Ravi Prasad,9,F
873,1063,Rekha Kulkarni,24,F
874,1063,Girish Prasad,5,M
876,1065,Kiran Gowda,62,M
878,1067,Prakash Desai,67,M
879,1067,Ashwini Rao,26,M
880,1069,Girish Hegde,23,F
883,1073,Deepak Iyengar,10,M
884,1073,Pooja Hegde,66,F
885,1075,Mary Murthy,11,F
886,1075,Pooja Reddy,73,M
887,1077,Pooja Desai,61,M
889,1079,Prakash Prasad,16,M
890,1081,Nagaraj Kumar,35,F
891,1081,Girish Kulkarni,61,F
892,1085,Imran Rao,45,M
894,1087,Rekha Prasad,36,F
896,1089,Mary Nayak,41,F
898,1091,Vinutha Desai,58,M
899,1093,Lakshmi Reddy,12,F
900,1093,Shivakumar Kulkarni,52,M
903,1095,Manjunath Prasad,49,M
904,1095,Imran Gowda,8,M
906,1097,Basavaraj Nayak,67,F
907,1099,Imran Nayak,48,M
908,1099,Anitha Naik,63,M
910,1103,Anitha Kulkarni,55,F
913,1107,Joseph Murthy,35,M
914,1107,Manjunath Nayak,8,M
917,1111,Ravi Shetty,53,M
918,1113,Yashwanth Kulkarni,72,F
919,1113,Anitha Gowda,36,M
921,1115,Shivakumar Kulkarni,54,F
923,1119,Vinutha Kumar,51,F
924,1119,Chetan Desai,39,F
925,1121,Nagaraj Shetty,63,M
927,1123,Basavaraj Desai,45,M
930,1125,Shivakumar Patil,9,M
932,1129,Nagaraj Kumar,18,M
933,1129,Bhavana Desai,40,M
936,1133,Suresh Murthy,75,M
938,1137,Vinutha Iyengar,13,F
940,1143,Basavaraj Shetty,70,F
945,1149,Lakshmi Bhat,13,M
947,1151,Prakash Kumar,12,F
948,1151,Chetan Shetty,39,M
950,1153,Chetan Bhat,64,F
951,1153,Fatima Desai,51,M
957,1159,Imran Kulkarni,26,F
958,1161,Joseph Nayak,63,F
960,1165,Suresh Nayak,52,F
962,1167,Nagaraj Shetty,58,F
963,1167,Pooja Shetty,67,M
964,1169,Basavaraj Murthy,14,F
966,1171,Anitha Iyengar,37,F
968,1173,Deepak Naik,62,M
971,1175,Ravi Iyengar,59,F
975,1179,Ravi Shetty,25,M
976,1181,Bhavana Iyengar,14,F
977,1183,Deepak Bhat,63,F
979,1185,Ravi Shetty,14,M
983,1191,Prakash Kumar,59,F
988,1197,Yashwanth Reddy,40,F
989,1199,Mary Iyengar,34,M
991,1201,Chetan Prasad,17,F
992,1205,Joseph Naik,5,F
994,1207,Rekha Desai,47,F
996,1211,Yashwanth Kumar,16,F
997,1211,Girish Kumar,18,F
998,1213,Ravi Gowda,54,F
1000,1215,Lakshmi Patil,9,F
1001,1215,Lakshmi Bhat,63,M
1003,1217,Pooja Nayak,27,F
1005,1219,Lakshmi Kumar,29,F
1006,1221,Ravi Shetty,34,M
1008,1223,Joseph Hegde,68,F
1009,1225,Rekha Gowda,67,M
1015,1235,Anitha Gowda,75,M
1020,1243,Joseph Hegde,50,M
1021,1243,Shivakumar Reddy,47,M
1025,1247,Nagaraj Gowda,15,M
1026,1247,Imran Kumar,26,M
1028,1249,Ravi Kumar,64,M
1030,1255,Ravi Patil,55,F
1031,1255,Kiran Hegde,56,M
1033,1257,Chetan Hegde,65,M
1035,1259,Bhavana Rao,52,F
1037,1263,Fatima Hegde,50,M
1041,1267,Manjunath Nayak,62,M
1042,1269,Ashwini Desai,55,F
1043,1271,Ashwini Reddy,5,M
1045,1273,Manjunath Naik,41,F
1046,1273,Mary Rao,23,F
1049,1275,Deepak Patil,35,F
1050,1275,Manjunath Iyengar,14,M
1054,1279,Rekha Kumar,22,M
1056,1281,Mary Patil,42,M
1060,1285,Anitha Iyengar,25,F
1062,1287,Shivakumar Kulkarni,52,M
1064,1289,Shivakumar Reddy,13,F
1068,1295,Shivakumar Naik,12,F
1069,1295,Mary Nayak,74,M
1073,1299,Fatima Rao,18,F
1074,1301,Rekha Gowda,36,F
1077,1303,Fatima Rao,47,M
1079,1305,Bhavana Kulkarni,16,F
1085,1313,Rekha Gowda,67,M
1087,1315,Suresh Prasad,12,M
1089,1317,Ashwini Rao,73,M
1091,1321,Fatima Iyengar,13,F
1093,1323,Lakshmi Iyengar,32,F
1094,1323,Joseph Iyengar,9,F
1095,1325,Ashwini Murthy,22,M
1098,1329,Vinutha Nayak,12,M
1099,1329,Shivakumar Patil,19,M
1100,1333,Lakshmi Bhat,5,F
1103,1337,Manjunath Bhat,75,F
1104,1339,Pooja Iyengar,71,M
1105,1339,Basavaraj Iyengar,11,F
1107,1341,Girish Bhat,70,F
1108,1341,Lakshmi Kulkarni,18,M
1110,1343,Kiran Gowda,19,F
1116,1353,Vinutha Kumar,7,F
1117,1357,Imran Bhat,39,F
1119,1363,Yashwanth Hegde,5,F
1120,1363,Chetan Rao,48,F
1123,1367,Shivakumar Reddy,54,M
1124,1369,Nagaraj Iyengar,71,F
1125,1369,Suresh Shetty,65,M
1127,1373,Girish Rao,15,F
1130,1377,Chetan Murthy,55,F
1131,1377,Ravi Naik,71,F
1134,1381,Mary Desai,66,F
1135,1383,Bhavana Murthy,37,F
1136,1383,Joseph Murthy,19,F
1138,1385,Vinutha Hegde,52,M
1142,1389,Suresh Prasad,58,M
1143,1389,Vinutha Desai,19,F
1144,1391,Basavaraj Naik,72,F
1147,1393,Shivakumar Desai,31,M
1149,1395,Anitha Prasad,25,M
1150,1395,Ravi Kulkarni,21,F
1151,1397,Deepak Prasad,54,M
1152,1399,Shivakumar Bhat,67,M
1154,1401,Mary Murthy,13,F
1155,1401,Vinutha Prasad,6,M
1158,1403,Mary Iyengar,27,F
1163,1407,Yashwanth Naik,60,M
1165,1409,Deepak Patil,23,F
1166,1411,Fatima Patil,62,M
1167,1413,Lakshmi Desai,40,F
1169,1415,Mary Gowda,68,F
1170,1419,Ravi Prasad,38,M
1172,1421,Rekha Nayak,63,F
1174,1423,Imran Murthy,68,F
1175,1425,Deepak Desai,10,M
1177,1427,Lakshmi Patil,61,F
1179,1429,Kiran Rao,27,M
1182,1431,Fatima Kulkarni,57,M
1183,1433,Deepak Prasad,48,M
1186,1435,Shivakumar Rao,59,F
1188,1437,Mary Reddy,62,F
1189,1439,Prakash Patil,23,F
1191,1441,Bhavana Murthy,6,F
1192,1443,Rekha Nayak,45,F
1193,1443,Pooja Desai,43,F
1195,1445,Fatima Kumar,14,M
1196,1445,Imran Kulkarni,73,F
1198,1447,Nagaraj Kulkarni,14,F
1200,1449,Vinutha Bhat,44,F
1201,1453,Pooja Shetty,23,M
1202,1453,Nagaraj Hegde,68,F
1205,1455,Bhavana Murthy,26,F
1210,1465,Rekha Shetty,66,M
1214,1469,Girish Murthy,57,M
1216,1471,Lakshmi Hegde,43,F
1217,1471,Rekha Bhat,75,M
1220,1475,Bhavana Gowda,62,F
1222,1477,Nagaraj Bhat,63,M
1225,1479,Kiran Bhat,61,M
1226,1479,Imran Shetty,75,M
1227,1481,Deepak Kumar,32,F
1228,1483,Pooja Nayak,40,M
1229,1483,Prakash Prasad,5,M
1230,1485,Pooja Patil,74,F
1231,1487,Bhavana Iyengar,26,M
1232,1491,Nagaraj Gowda,26,F
1233,1491,Ravi Kumar,46,M
1234,1493,Yashwanth Desai,8,M
1236,1497,Deepak Bhat,65,F
1237,1497,Nagaraj Reddy,16,F
1241,1507,Fatima Nayak,37,M
1243,1511,Chetan Gowda,34,M
1244,1513,Deepak Murthy,18,M
1246,1515,Girish Kumar,46,F
1247,1515,Girish Bhat,40,F
1249,1519,Deepak Nayak,32,M
1250,1519,Ravi Gowda,63,M
1254,1525,Suresh Nayak,35,M
1257,1527,Girish Shetty,25,M
1259,1529,Joseph Kumar,52,F
1261,1531,Anitha Kulkarni,18,F
1262,1531,Mary Shetty,62,F
1264,1533,Chetan Hegde,66,F
1266,1537,Suresh Nayak,34,M
1267,1537,Pooja Shetty,66,M
1269,1539,Anitha Murthy,27,M
1270,1539,Bhavana Bhat,72,F
1271,1541,Nagaraj Desai,9,F
1272,1541,Fatima Naik,72,M
1274,1543,Rekha Iyengar,68,F
1276,1551,Fatima Hegde,28,F
1277,1551,Mary Gowda,33,F
1279,1553,Imran Gowda,39,M
1281,1555,Fatima Naik,51,M
1283,1557,Basavaraj Prasad,58,F
1284,1557,Nagaraj Patil,33,F
1286,1559,Basavaraj Reddy,10,M
1287,1559,Kiran Nayak,63,F
1292,1575,Chetan Hegde,10,F
1295,1579,Deepak Rao,27,M
1297,1581,Kiran Nayak,34,F
1299,1583,Girish Gowda,7,F
1300,1583,Nagaraj Kumar,7,M
1302,1585,Fatima Kumar,12,F
1305,1589,Suresh Naik,70,F
1307,1591,Girish Reddy,33,F
1314,1599,Manjunath Rao,72,F
1316,1601,Chetan Desai,50,F
1320,1609,Mary Shetty,46,F
1327,1617,Mary Kumar,33,M
1328,1619,Lakshmi Nayak,74,F
1332,1623,Kiran Rao,70,F
1333,1623,Ashwini Iyengar,75,M
1335,1625,Pooja Desai,47,M
1341,1635,Mary Iyengar,27,M
1342,1635,Kiran Bhat,23,M
1344,1637,Prakash Nayak,40,M
1345,1637,Fatima Prasad,73,F
1348,1641,Pooja Hegde,18,F
1351,1643,Suresh Kumar,5,F
1353,1647,Yashwanth Desai,59,M
1354,1649,Joseph Kulkarni,62,F
1355,1649,Deepak Naik,74,F
1357,1651,Yashwanth Hegde,55,M
1358,1651,Ravi Reddy,23,F
1359,1653,Joseph Shetty,14,F
1361,1655,Ravi Rao,42,M
1362,1657,Joseph Patil,8,F
1363,1657,Suresh Prasad,20,F
1365,1659,Prakash Kumar,38,F
1367,1661,Lakshmi Murthy,74,F
1368,1661,Ravi Bhat,70,F
1370,1663,Bhavana Murthy,12,M
1372,1665,Ashwini Kulkarni,57,F
1373,1669,Suresh Hegde,47,M
1374,1669,Shivakumar Gowda,32,M
1375,1671,Suresh Desai,33,F
1377,1673,Girish Rao,67,M
1378,1673,Pooja Murthy,73,F
1379,1675,Chetan Patil,32,M
1383,1683,Suresh Naik,59,M
1386,1685,Joseph Kumar,66,F
1387,1687,Lakshmi Naik,35,F
1388,1689,Nagaraj Gowda,48,F
1389,1691,Prakash Rao,22,F
1391,1693,Manjunath Kulkarni,41,M
1393,1697,Bhavana Gowda,40,F
1395,1699,Yashwanth Shetty,5,M
1397,1701,Kiran Hegde,20,F
1398,1701,Ashwini Kumar,6,M
1399,1707,Shivakumar Reddy,28,M
1402,1711,Bhavana Kumar,43,F
1404,1713,Chetan Naik,27,M
1405,1715,Vinutha Naik,52,F
1408,1717,Girish Desai,54,F
1409,1719,Lakshmi Murthy,14,F
1412,1727,Yashwanth Kulkarni,7,M
1414,1729,Vinutha Hegde,18,F
1416,1733,Kiran Nayak,27,M
1422,1741,Pooja Nayak,13,M
1424,1743,Kiran Murthy,73,F
1426,1745,Suresh Iyengar,6,M
1427,1745,Vinutha Hegde,70,F
1429,1747,Prakash Shetty,10,M
1430,1747,Basavaraj Kumar,37,F
1433,1751,Ashwini Naik,41,F
1436,1755,Ashwini Hegde,75,F
1437,1757,Suresh Desai,58,M
1440,1759,Basavaraj Bhat,72,M
1442,1767,Pooja Prasad,7,M
1445,1769,Fatima Kumar,9,M
1446,1771,Nagaraj Gowda,41,F
1448,1775,Joseph Bhat,15,F
1450,1783,Prakash Hegde,13,F
1453,1787,Manjunath Naik,37,M
1454,1789,Yashwanth Shetty,5,F
1456,1791,Basavaraj Prasad,69,F
1457,1793,Manjunath Kumar,11,F
1458,1795,Lakshmi Patil,41,F
1461,1797,Fatima Murthy,47,F
1462,1799,Bhavana Gowda,61,M
1463,1801,Yashwanth Patil,20,M
1465,1803,Shivakumar Patil,69,F
1467,1805,Prakash Hegde,23,F
1468,1807,Chetan Shetty,14,M
1470,1809,Manjunath Desai,70,M
1471,1811,Shivakumar Kulkarni,42,M
1474,1819,Rekha Hegde,28,M
1478,1823,Pooja Kumar,70,M
1480,1825,Nagaraj Desai,54,M
1481,1829,Fatima Desai,67,F
1484,1833,Chetan Shetty,53,M
1486,1835,Deepak Shetty,15,F
1490,1841,Rekha Kulkarni,75,M
1491,1843,Imran Naik,16,F
1494,1849,Anitha Reddy,38,M
1495,1849,Nagaraj Desai,10,M
1497,1851,Ravi Rao,13,M
