AccusedMasterID,CaseMasterID,CrimeNo,AccusedName,AgeYear,Gender,PersonID,RingID,DistrictName,CrimeSubHead
58,27,100020005202400005,Lakshmi Prasad,28,M,A3,0,Bengaluru Rural,Dowry Harassment
61,29,100130004202400001,Shivakumar Prasad,40,M,A1,0,Udupi,Motor Vehicle Theft
66,31,800140001202400001,Shivakumar Rao,49,M,A1,0,Hassan,Burglary
67,31,800140001202400001,Rekha Nayak,21,F,A2,8,Hassan,Burglary
68,31,800140001202400001,Vinutha Prasad,24,M,A3,0,Hassan,Burglary
74,33,100120006202400001,Yashwanth Rao,36,M,A1,0,Davanagere,Robbery
77,35,400020005202400008,Vinutha Bhat,38,M,A1,0,Bengaluru Rural,Unlawful Assembly
78,35,400020005202400008,Yashwanth Hegde,55,M,A2,0,Bengaluru Rural,Unlawful Assembly
79,35,400020005202400008,Pooja Kumar,50,M,A3,0,Bengaluru Rural,Unlawful Assembly
83,37,100050005202400003,Joseph Rao,48,M,A1,0,Hubballi-Dharwad,Grievous Hurt
84,37,100050005202400003,Joseph Patil,47,M,A2,0,Hubballi-Dharwad,Grievous Hurt
85,37,100050005202400003,Chetan Rao,49,M,A3,0,Hubballi-Dharwad,Grievous Hurt
87,39,100050002202400004,Mary Hegde,41,M,A1,0,Hubballi-Dharwad,Possession NDPS
88,39,100050002202400004,Yashwanth Reddy,35,M,A2,0,Hubballi-Dharwad,Possession NDPS
90,41,100040004202400003,Vinutha Gowda,38,M,A1,0,Mangaluru (DK),Robbery
91,41,100040004202400003,Chetan Shetty,21,M,A2,0,Mangaluru (DK),Robbery
94,43,100090004202400002,Pooja Kulkarni,45,M,A1,0,Vijayapura,Motor Vehicle Theft
97,45,100110002202400002,Basavaraj Iyengar,46,M,A1,0,Tumakuru,Money Laundering
98,45,100110002202400002,Bhavana Gowda,43,M,A2,0,Tumakuru,Money Laundering
99,45,100110002202400002,Lakshmi Bhat,49,M,A3,0,Tumakuru,Money Laundering
101,47,100030003202400005,Ravi Shetty,19,M,A1,0,Mysuru,Grievous Hurt
102,47,100030003202400005,Yashwanth Nayak,47,M,A2,0,Mysuru,Grievous Hurt
103,47,100030003202400005,Vinutha Nayak,37,F,A3,0,Mysuru,Grievous Hurt
107,49,100140002202400004,Bhavana Shetty,18,M,A1,0,Hassan,Burglary
108,49,100140002202400004,Imran Desai,47,M,A2,8,Hassan,Burglary
110,51,100120005202400002,Suresh Patil,51,M,A1,0,Davanagere,Burglary
111,51,100120005202400002,Fatima Reddy,26,M,A2,0,Davanagere,Burglary
112,51,100120005202400002,Ashwini Kumar,29,M,A3,0,Davanagere,Burglary
114,53,100100004202400002,Ashwini Patil,20,M,A1,0,Shivamogga,Dacoity
117,55,100030003202400006,Pooja Naik,46,M,A1,0,Mysuru,Unlawful Assembly
118,55,100030003202400006,Prakash Prasad,36,M,A2,0,Mysuru,Unlawful Assembly
119,55,100030003202400006,Suresh Shetty,40,M,A3,0,Mysuru,Unlawful Assembly
121,57,100070003202400004,Chetan Naik,27,M,A1,0,Kalaburagi,Trafficking NDPS
125,59,100150002202400001,Suresh Shetty,44,M,A1,0,Raichur,Murder
126,59,100150002202400001,Nagaraj Desai,40,M,A2,0,Raichur,Murder
132,61,100090002202400003,Fatima Shetty,34,M,A1,0,Vijayapura,Theft
133,61,100090002202400003,Rekha Bhat,27,M,A2,0,Vijayapura,Theft
134,61,100090002202400003,Manjunath Rao,30,M,A3,0,Vijayapura,Theft
138,63,100010002202400019,Prakash Kulkarni,55,M,A1,0,Bengaluru City,Burglary
139,63,100010002202400019,Basavaraj Desai,30,M,A2,0,Bengaluru City,Burglary
143,65,100010001202400020,Lakshmi Iyengar,28,M,A1,0,Bengaluru City,Rioting
144,65,100010001202400020,Shivakumar Kumar,44,M,A2,0,Bengaluru City,Rioting
145,65,100010001202400020,Pooja Hegde,53,M,A3,0,Bengaluru City,Rioting
150,67,400030006202400008,Lakshmi Gowda,57,M,A1,0,Mysuru,Motor Vehicle Theft
151,67,400030006202400008,Bhavana Prasad,21,F,A2,0,Mysuru,Motor Vehicle Theft
152,67,400030006202400008,Joseph Nayak,18,M,A3,0,Mysuru,Motor Vehicle Theft
155,69,400010004202400021,Suresh Patil,56,M,A1,0,Bengaluru City,Attempt to Murder
156,69,400010004202400021,Shivakumar Shetty,39,M,A2,0,Bengaluru City,Attempt to Murder
157,69,400010004202400021,Girish Nayak,42,M,A3,0,Bengaluru City,Attempt to Murder
162,71,100030006202400009,Ravi Gowda,42,M,A1,0,Mysuru,Trafficking NDPS
163,71,100030006202400009,Deepak Hegde,19,M,A2,0,Mysuru,Trafficking NDPS
166,73,100080003202400001,Prakash Shetty,31,M,A1,0,Ballari,Grievous Hurt
167,73,100080003202400001,Girish Nayak,47,M,A2,0,Ballari,Grievous Hurt
170,75,100060004202400004,Kiran Murthy,23,M,A1,0,Belagavi,Rioting
171,75,100060004202400004,Girish Murthy,46,M,A2,0,Belagavi,Rioting
172,75,100060004202400004,Kiran Murthy,30,M,A3,8,Belagavi,Rioting
173,75,100060004202400004,Basavaraj Iyengar,39,M,A4,0,Belagavi,Rioting
177,77,100010004202400023,Shivakumar Iyengar,37,M,A1,0,Bengaluru City,Grievous Hurt
178,77,100010004202400023,Deepak Nayak,36,M,A2,0,Bengaluru City,Grievous Hurt
179,77,100010004202400023,Kiran Reddy,54,M,A3,0,Bengaluru City,Grievous Hurt
182,79,800080003202400002,Prakash Hegde,45,M,A1,0,Ballari,Chit Fund Fraud
185,81,100010001202400024,Fatima Desai,26,M,A1,0,Bengaluru City,Attempt to Murder
186,81,100010001202400024,Joseph Shetty,50,M,A2,0,Bengaluru City,Attempt to Murder
189,83,100010001202400025,Mary Iyengar,49,F,A1,0,Bengaluru City,Money Laundering
190,83,100010001202400025,Vinutha Shetty,26,M,A2,0,Bengaluru City,Money Laundering
191,83,100010001202400025,Kiran Desai,45,M,A3,0,Bengaluru City,Money Laundering
195,85,100020005202400012,Yashwanth Rao,25,M,A1,0,Bengaluru Rural,Domestic Violence
196,85,100020005202400012,Bhavana Patil,53,M,A2,0,Bengaluru Rural,Domestic Violence
197,85,100020005202400012,Pooja Patil,50,M,A3,0,Bengaluru Rural,Domestic Violence
200,87,100130003202400002,Basavaraj Hegde,41,M,A1,0,Udupi,Assault on Woman
201,87,100130003202400002,Shivakumar Hegde,21,M,A2,0,Udupi,Assault on Woman
207,89,100040002202400004,Rekha Bhat,47,M,A1,0,Mangaluru (DK),Dacoity
208,89,100040002202400004,Girish Bhat,49,M,A2,0,Mangaluru (DK),Dacoity
210,91,100040001202400005,Shivakumar Kumar,38,M,A1,0,Mangaluru (DK),Theft
211,91,100040001202400005,Lakshmi Shetty,49,M,A2,0,Mangaluru (DK),Theft
214,93,100110006202400004,Girish Kumar,48,M,A1,0,Tumakuru,Trafficking NDPS
215,93,100110006202400004,Yashwanth Desai,41,M,A2,0,Tumakuru,Trafficking NDPS
219,95,800040003202400006,Prakash Gowda,32,M,A1,0,Mangaluru (DK),Criminal Breach of Trust
223,97,300060002202400006,Nagaraj Gowda,54,M,A1,0,Belagavi,Burglary
224,97,300060002202400006,Chetan Reddy,49,M,A2,0,Belagavi,Burglary
225,97,300060002202400006,Joseph Desai,48,M,A3,0,Belagavi,Burglary
229,99,100050001202400005,Joseph Nayak,38,M,A1,0,Hubballi-Dharwad,Domestic Violence
230,99,100050001202400005,Mary Gowda,47,M,A2,0,Hubballi-Dharwad,Domestic Violence
231,99,100050001202400005,Ravi Bhat,19,M,A3,0,Hubballi-Dharwad,Domestic Violence
235,101,100030003202400012,Ashwini Desai,23,M,A1,0,Mysuru,Rioting
236,101,100030003202400012,Deepak Kumar,33,M,A2,0,Mysuru,Rioting
237,101,100030003202400012,Lakshmi Reddy,29,M,A3,0,Mysuru,Rioting
238,101,100030003202400012,Imran Murthy,33,M,A4,0,Mysuru,Rioting
239,101,100030003202400012,Ravi Reddy,26,M,A5,0,Mysuru,Rioting
243,103,100100002202400005,Yashwanth Rao,21,M,A1,0,Shivamogga,Dowry Harassment
244,103,100100002202400005,Joseph Rao,42,M,A2,0,Shivamogga,Dowry Harassment
248,105,100070002202400005,Basavaraj Kulkarni,31,M,A1,0,Kalaburagi,Rioting
249,105,100070002202400005,Basavaraj Bhat,31,M,A2,0,Kalaburagi,Rioting
252,107,100030003202400013,Chetan Bhat,41,M,A1,0,Mysuru,Motor Vehicle Theft
253,107,100030003202400013,Bhavana Hegde,35,F,A2,0,Mysuru,Motor Vehicle Theft
255,109,100010004202400030,Anitha Patil,53,M,A1,0,Bengaluru City,Grievous Hurt
256,109,100010004202400030,Prakash Naik,41,M,A2,0,Bengaluru City,Grievous Hurt
257,109,100010004202400030,Basavaraj Shetty,54,F,A3,0,Bengaluru City,Grievous Hurt
261,111,300030003202400014,Pooja Nayak,37,M,A1,0,Mysuru,Rioting
262,111,300030003202400014,Mary Gowda,39,M,A2,0,Mysuru,Rioting
264,113,100070004202400006,Chetan Kulkarni,49,M,A1,0,Kalaburagi,Trafficking NDPS
265,113,100070004202400006,Rekha Desai,45,M,A2,0,Kalaburagi,Trafficking NDPS
266,113,100070004202400006,Anitha Patil,45,M,A3,0,Kalaburagi,Trafficking NDPS
268,115,100030004202400015,Pooja Kulkarni,22,M,A1,0,Mysuru,Dowry Harassment
272,117,100140003202400006,Yashwanth Nayak,39,M,A1,0,Hassan,Domestic Violence
276,119,100120006202400004,Vinutha Iyengar,38,M,A1,0,Davanagere,Burglary
277,119,100120006202400004,Pooja Bhat,32,M,A2,5,Davanagere,Burglary
280,121,100040002202400007,Bhavana Rao,50,M,A1,0,Mangaluru (DK),Money Laundering
281,121,100040002202400007,Yashwanth Murthy,36,M,A2,6,Mangaluru (DK),Money Laundering
282,121,100040002202400007,Shivakumar Bhat,30,M,A3,0,Mangaluru (DK),Money Laundering
285,123,100010004202400031,Nagaraj Reddy,51,F,A1,0,Bengaluru City,Murder
286,123,100010004202400031,Manjunath Iyengar,33,M,A2,0,Bengaluru City,Murder
287,123,100010004202400031,Lakshmi Kumar,46,M,A3,0,Bengaluru City,Murder
289,125,100140003202400008,Manjunath Gowda,24,M,A1,0,Hassan,Dacoity
290,125,100140003202400008,Fatima Reddy,41,F,A2,0,Hassan,Dacoity
291,125,100140003202400008,Anitha Desai,47,M,A3,0,Hassan,Dacoity
294,127,100010004202400033,Manjunath Patil,44,F,A1,0,Bengaluru City,Murder
297,129,100010001202400035,Fatima Rao,35,M,A1,0,Bengaluru City,Robbery
301,131,300070001202400007,Anitha Desai,42,M,A1,0,Kalaburagi,Dowry Harassment
302,131,300070001202400007,Vinutha Prasad,24,F,A2,0,Kalaburagi,Dowry Harassment
306,133,400100002202400006,Nagaraj Reddy,54,M,A1,0,Shivamogga,Burglary
307,133,400100002202400006,Yashwanth Desai,21,M,A2,0,Shivamogga,Burglary
310,135,100010004202400036,Vinutha Bhat,27,M,A1,0,Bengaluru City,Money Laundering
311,135,100010004202400036,Mary Nayak,32,M,A2,0,Bengaluru City,Money Laundering
315,137,100140003202400009,Suresh Prasad,48,M,A1,0,Hassan,Domestic Violence
319,139,100010003202400037,Vinutha Naik,51,F,A1,0,Bengaluru City,UPI Fraud
320,139,100010003202400037,Chetan Kulkarni,40,M,A2,0,Bengaluru City,UPI Fraud
321,139,100010003202400037,Vinutha Gowda,26,F,A3,0,Bengaluru City,UPI Fraud
324,141,800140006202400010,Vinutha Nayak,37,M,A1,0,Hassan,Robbery
325,141,800140006202400010,Chetan Patil,54,M,A2,0,Hassan,Robbery
326,141,800140006202400010,Ravi Hegde,40,F,A3,0,Hassan,Robbery
329,143,100040002202400008,Anitha Iyengar,25,M,A1,0,Mangaluru (DK),Domestic Violence
330,143,100040002202400008,Girish Naik,53,M,A2,0,Mangaluru (DK),Domestic Violence
333,145,100030005202400017,Pooja Desai,37,M,A1,0,Mysuru,Attempt to Murder
337,147,100070004202400008,Vinutha Bhat,53,M,A1,0,Kalaburagi,Possession NDPS
338,147,100070004202400008,Bhavana Hegde,51,M,A2,0,Kalaburagi,Possession NDPS
340,149,100020004202400016,Anitha Kumar,27,M,A1,0,Bengaluru Rural,Assault on Woman
343,151,100070003202400009,Pooja Rao,39,M,A1,0,Kalaburagi,Identity Theft
344,151,100070003202400009,Mary Bhat,38,M,A2,0,Kalaburagi,Identity Theft
345,151,100070003202400009,Bhavana Rao,55,M,A3,0,Kalaburagi,Identity Theft
348,153,100020004202400017,Girish Hegde,36,M,A1,0,Bengaluru Rural,Rioting
349,153,100020004202400017,Fatima Desai,22,M,A2,0,Bengaluru Rural,Rioting
350,153,100020004202400017,Chetan Iyengar,31,M,A3,0,Bengaluru Rural,Rioting
353,155,100050005202400008,Mary Nayak,41,M,A1,0,Hubballi-Dharwad,Dowry Harassment
354,155,100050005202400008,Deepak Murthy,54,M,A2,0,Hubballi-Dharwad,Dowry Harassment
357,157,300110004202400009,Fatima Desai,49,M,A1,0,Tumakuru,Dowry Harassment
358,157,300110004202400009,Deepak Kumar,45,M,A2,0,Tumakuru,Dowry Harassment
360,159,100080003202400004,Nagaraj Naik,55,M,A1,0,Ballari,Motor Vehicle Theft
365,161,100010004202400040,Mary Kumar,33,M,A1,0,Bengaluru City,Rioting
366,161,100010004202400040,Suresh Hegde,29,M,A2,0,Bengaluru City,Rioting
367,161,100010004202400040,Yashwanth Reddy,38,M,A3,0,Bengaluru City,Rioting
368,161,100010004202400040,Nagaraj Kulkarni,35,M,A4,0,Bengaluru City,Rioting
369,161,100010004202400040,Girish Bhat,51,M,A5,0,Bengaluru City,Rioting
372,163,100100003202400008,Pooja Rao,18,M,A1,0,Shivamogga,Dowry Harassment
373,163,100100003202400008,Bhavana Naik,46,M,A2,0,Shivamogga,Dowry Harassment
375,165,800140006202400011,Bhavana Murthy,49,M,A1,0,Hassan,UPI Fraud
376,165,800140006202400011,Shivakumar Hegde,50,M,A2,0,Hassan,UPI Fraud
377,165,800140006202400011,Manjunath Kumar,22,F,A3,0,Hassan,UPI Fraud
380,167,100040003202400009,Ravi Naik,18,M,A1,0,Mangaluru (DK),Domestic Violence
381,167,100040003202400009,Ravi Prasad,42,M,A2,0,Mangaluru (DK),Domestic Violence
384,169,100060002202400011,Shivakumar Bhat,24,M,A1,0,Belagavi,Dacoity
385,169,100060002202400011,Bhavana Kulkarni,22,M,A2,0,Belagavi,Dacoity
386,169,100060002202400011,Basavaraj Prasad,21,M,A3,0,Belagavi,Dacoity
389,171,100010004202400043,Fatima Bhat,39,M,A1,0,Bengaluru City,Dowry Harassment
390,171,100010004202400043,Basavaraj Gowda,52,M,A2,0,Bengaluru City,Dowry Harassment
391,171,100010004202400043,Lakshmi Prasad,45,M,A3,0,Bengaluru City,Dowry Harassment
393,173,100090003202400008,Prakash Rao,22,F,A1,0,Vijayapura,Motor Vehicle Theft
394,173,100090003202400008,Ashwini Hegde,30,F,A2,0,Vijayapura,Motor Vehicle Theft
398,175,100010003202400044,Chetan Nayak,34,M,A1,0,Bengaluru City,Kidnapping
399,175,100010003202400044,Ravi Murthy,55,M,A2,0,Bengaluru City,Kidnapping
402,177,100010003202400045,Rekha Prasad,30,M,A1,0,Bengaluru City,Criminal Breach of Trust
403,177,100010003202400045,Mary Iyengar,35,M,A2,0,Bengaluru City,Criminal Breach of Trust
406,179,100070002202400010,Lakshmi Nayak,48,M,A1,0,Kalaburagi,Assault on Woman
407,179,100070002202400010,Kiran Kumar,20,M,A2,0,Kalaburagi,Assault on Woman
410,181,100040003202400011,Prakash Gowda,55,F,A1,0,Mangaluru (DK),Motor Vehicle Theft
411,181,100040003202400011,Girish Naik,52,M,A2,0,Mangaluru (DK),Motor Vehicle Theft
413,183,100070005202400011,Vinutha Rao,41,M,A1,0,Kalaburagi,Grievous Hurt
416,185,100140006202400012,Bhavana Nayak,28,M,A1,0,Hassan,Dowry Harassment
417,185,100140006202400012,Basavaraj Kulkarni,48,M,A2,0,Hassan,Dowry Harassment
418,185,100140006202400012,Nagaraj Prasad,54,M,A3,0,Hassan,Dowry Harassment
421,187,300110004202400011,Deepak Reddy,20,M,A1,0,Tumakuru,Cheating
425,189,800100005202400011,Anitha Desai,40,M,A1,0,Shivamogga,Criminal Breach of Trust
426,189,800100005202400011,Fatima Kumar,48,M,A2,0,Shivamogga,Criminal Breach of Trust
428,191,100050005202400010,Mary Shetty,28,M,A1,0,Hubballi-Dharwad,Robbery
429,191,100050005202400010,Shivakumar Nayak,50,F,A2,0,Hubballi-Dharwad,Robbery
430,191,100050005202400010,Rekha Naik,31,M,A3,0,Hubballi-Dharwad,Robbery
432,193,100010004202400049,Vinutha Rao,54,M,A1,0,Bengaluru City,Domestic Violence
433,193,100010004202400049,Prakash Kumar,46,M,A2,0,Bengaluru City,Domestic Violence
435,195,100140003202400014,Lakshmi Murthy,26,M,A1,0,Hassan,Dacoity
439,197,100060003202400012,Imran Gowda,44,F,A1,0,Belagavi,Money Laundering
441,199,100060001202400013,Basavaraj Patil,54,M,A1,0,Belagavi,Dacoity
442,199,100060001202400013,Anitha Kumar,50,M,A2,0,Belagavi,Dacoity
445,201,100050002202400011,Suresh Kumar,52,M,A1,0,Hubballi-Dharwad,Dowry Harassment
446,201,100050002202400011,Chetan Patil,38,M,A2,0,Hubballi-Dharwad,Dowry Harassment
447,201,100050002202400011,Anitha Prasad,31,M,A3,0,Hubballi-Dharwad,Dowry Harassment
450,203,100010001202400051,Basavaraj Patil,32,M,A1,0,Bengaluru City,Rioting
451,203,100010001202400051,Basavaraj Reddy,23,M,A2,0,Bengaluru City,Rioting
452,203,100010001202400051,Yashwanth Iyengar,52,M,A3,0,Bengaluru City,Rioting
453,203,100010001202400051,Chetan Hegde,19,M,A4,0,Bengaluru City,Rioting
457,205,100010004202400052,Shivakumar Hegde,49,M,A1,0,Bengaluru City,Unlawful Assembly
458,205,100010004202400052,Vinutha Desai,23,M,A2,0,Bengaluru City,Unlawful Assembly
459,205,100010004202400052,Chetan Nayak,45,M,A3,0,Bengaluru City,Unlawful Assembly
463,207,100010001202400053,Girish Rao,49,M,A1,0,Bengaluru City,Rioting
464,207,100010001202400053,Manjunath Iyengar,56,M,A2,0,Bengaluru City,Rioting
465,207,100010001202400053,Chetan Rao,44,M,A3,0,Bengaluru City,Rioting
467,209,800020005202400023,Mary Naik,32,M,A1,0,Bengaluru Rural,Identity Theft
468,209,800020005202400023,Lakshmi Iyengar,43,M,A2,0,Bengaluru Rural,Identity Theft
472,211,100100002202400012,Pooja Naik,54,M,A1,0,Shivamogga,Theft
475,213,100010001202400056,Manjunath Kumar,52,M,A1,0,Bengaluru City,Criminal Breach of Trust
476,213,100010001202400056,Ashwini Reddy,24,M,A2,0,Bengaluru City,Criminal Breach of Trust
478,215,100140003202400016,Fatima Iyengar,32,M,A1,0,Hassan,Attempt to Murder
479,215,100140003202400016,Vinutha Kulkarni,22,M,A2,0,Hassan,Attempt to Murder
481,217,800010003202400057,Pooja Iyengar,24,M,A1,0,Bengaluru City,Burglary
482,217,800010003202400057,Deepak Rao,42,M,A2,0,Bengaluru City,Burglary
483,217,800010003202400057,Anitha Kulkarni,24,F,A3,0,Bengaluru City,Burglary
486,219,100060001202400014,Joseph Naik,42,M,A1,0,Belagavi,Robbery
488,221,100070003202400012,Basavaraj Hegde,48,M,A1,0,Kalaburagi,UPI Fraud
489,221,100070003202400012,Ashwini Kulkarni,19,M,A2,0,Kalaburagi,UPI Fraud
490,221,100070003202400012,Chetan Prasad,29,M,A3,0,Kalaburagi,UPI Fraud
493,223,100010002202400059,Ravi Prasad,37,F,A1,0,Bengaluru City,Possession NDPS
494,223,100010002202400059,Joseph Prasad,47,M,A2,0,Bengaluru City,Possession NDPS
496,225,100030001202400020,Mary Nayak,21,M,A1,0,Mysuru,Motor Vehicle Theft
497,225,100030001202400020,Nagaraj Bhat,50,M,A2,0,Mysuru,Motor Vehicle Theft
498,225,100030001202400020,Mary Desai,56,M,A3,0,Mysuru,Motor Vehicle Theft
500,227,100060003202400015,Deepak Naik,34,M,A1,0,Belagavi,Kidnapping
501,227,100060003202400015,Yashwanth Gowda,51,M,A2,0,Belagavi,Kidnapping
502,227,100060003202400015,Manjunath Patil,41,M,A3,0,Belagavi,Kidnapping
506,229,400020004202400024,Suresh Gowda,52,M,A1,0,Bengaluru Rural,Grievous Hurt
507,229,400020004202400024,Fatima Bhat,36,M,A2,0,Bengaluru Rural,Grievous Hurt
509,231,100050001202400014,Ravi Prasad,29,M,A1,0,Hubballi-Dharwad,Murder
510,231,100050001202400014,Shivakumar Shetty,43,M,A2,0,Hubballi-Dharwad,Murder
511,231,100050001202400014,Pooja Prasad,24,F,A3,0,Hubballi-Dharwad,Murder
517,233,100080003202400007,Joseph Naik,56,M,A1,5,Ballari,Burglary
521,235,100070002202400013,Fatima Bhat,20,M,A1,0,Kalaburagi,Rioting
522,235,100070002202400013,Chetan Bhat,45,M,A2,0,Kalaburagi,Rioting
523,235,100070002202400013,Chetan Rao,27,M,A3,0,Kalaburagi,Rioting
524,235,100070002202400013,Lakshmi Kumar,52,M,A4,0,Kalaburagi,Rioting
525,235,100070002202400013,Suresh Murthy,53,M,A5,0,Kalaburagi,Rioting
528,237,100010004202400062,Joseph Kulkarni,27,M,A1,0,Bengaluru City,Dacoity
529,237,100010004202400062,Kiran Bhat,47,M,A2,0,Bengaluru City,Dacoity
531,239,100010001202400063,Manjunath Kumar,26,M,A1,0,Bengaluru City,Dowry Harassment
532,239,100010001202400063,Pooja Patil,22,M,A2,0,Bengaluru City,Dowry Harassment
534,241,400030005202400021,Ravi Patil,34,M,A1,0,Mysuru,Assault on Woman
535,241,400030005202400021,Yashwanth Bhat,25,M,A2,0,Mysuru,Assault on Woman
536,241,400030005202400021,Basavaraj Patil,36,M,A3,2,Mysuru,Assault on Woman
539,243,100140001202400017,Prakash Patil,30,F,A1,0,Hassan,Motor Vehicle Theft
541,245,100050002202400015,Lakshmi Nayak,30,M,A1,0,Hubballi-Dharwad,Trafficking NDPS
542,245,100050002202400015,Prakash Hegde,32,M,A2,0,Hubballi-Dharwad,Trafficking NDPS
543,245,100050002202400015,Joseph Gowda,27,M,A3,0,Hubballi-Dharwad,Trafficking NDPS
545,247,100010003202400067,Yashwanth Kumar,25,F,A1,0,Bengaluru City,Identity Theft
546,247,100010003202400067,Chetan Iyengar,37,M,A2,0,Bengaluru City,Identity Theft
550,249,100110001202400013,Nagaraj Patil,31,M,A1,0,Tumakuru,Criminal Breach of Trust
551,249,100110001202400013,Ashwini Reddy,32,M,A2,0,Tumakuru,Criminal Breach of Trust
554,251,100050004202400016,Rekha Kulkarni,49,M,A1,0,Hubballi-Dharwad,Assault on Woman
558,253,100040002202400015,Basavaraj Iyengar,39,M,A1,0,Mangaluru (DK),Domestic Violence
559,253,100040002202400015,Prakash Naik,18,M,A2,0,Mangaluru (DK),Domestic Violence
560,253,100040002202400015,Lakshmi Desai,54,M,A3,0,Mangaluru (DK),Domestic Violence
564,255,100060004202400017,Ashwini Desai,36,M,A1,0,Belagavi,Unlawful Assembly
565,255,100060004202400017,Manjunath Iyengar,50,M,A2,0,Belagavi,Unlawful Assembly
568,257,100020003202400027,Pooja Patil,32,M,A1,0,Bengaluru Rural,UPI Fraud
572,259,100060002202400018,Mary Reddy,30,M,A1,0,Belagavi,Rioting
573,259,100060002202400018,Joseph Murthy,43,M,A2,0,Belagavi,Rioting
574,259,100060002202400018,Ravi Iyengar,43,M,A3,0,Belagavi,Rioting
575,259,100060002202400018,Prakash Prasad,24,M,A4,0,Belagavi,Rioting
577,261,100100001202400014,Mary Kulkarni,27,M,A1,0,Shivamogga,Unlawful Assembly
578,261,100100001202400014,Nagaraj Reddy,20,M,A2,0,Shivamogga,Unlawful Assembly
579,261,100100001202400014,Vinutha Bhat,38,M,A3,0,Shivamogga,Unlawful Assembly
582,263,100040003202400016,Pooja Naik,24,M,A1,0,Mangaluru (DK),Burglary
584,265,100060003202400019,Anitha Reddy,47,M,A1,0,Belagavi,Dacoity
586,267,100040004202400017,Ravi Kulkarni,48,F,A1,0,Mangaluru (DK),Burglary
589,269,100040004202400019,Shivakumar Desai,22,M,A1,0,Mangaluru (DK),Theft
590,269,100040004202400019,Yashwanth Kumar,31,M,A2,0,Mangaluru (DK),Theft
593,271,100010004202400069,Ashwini Kulkarni,30,M,A1,0,Bengaluru City,Ransomware
594,271,100010004202400069,Yashwanth Kumar,34,M,A2,0,Bengaluru City,Ransomware
595,271,100010004202400069,Chetan Naik,30,F,A3,0,Bengaluru City,Ransomware
597,273,400040004202400020,Bhavana Reddy,36,M,A1,0,Mangaluru (DK),Burglary
598,273,400040004202400020,Vinutha Kulkarni,22,M,A2,0,Mangaluru (DK),Burglary
599,273,400040004202400020,Prakash Patil,21,M,A3,0,Mangaluru (DK),Burglary
