ArrestID,CaseMasterID,AccusedMasterID,AccusedName,ArrestType,ArrestDate,DistrictName,IOName
221,367,0,Girish Murthy,Arrest,2024-01-14,Bengaluru City,Girish Patil
222,371,0,Manjunath Iyengar,Arrest,2024-01-14,Belagavi,Deepak Kumar
224,373,0,Girish Reddy,Arrest,2024-01-14,Bengaluru City,Vinutha Bhat
225,377,0,Imran Hegde,Arrest,2024-01-14,Bengaluru City,Ashwini Murthy
226,379,0,Deepak Kumar,Arrest,2024-01-14,Tumakuru,Girish Rao
229,385,0,Nagaraj Desai,Arrest,2024-01-14,Udupi,Basavaraj Iyengar
232,391,0,Girish Iyengar,Arrest,2024-01-14,Bengaluru City,Anitha Rao
234,393,0,Nagaraj Murthy,Arrest,2024-01-14,Bengaluru City,Fatima Naik
235,395,0,Lakshmi Nayak,Arrest,2024-01-14,Kalaburagi,Lakshmi Murthy
237,399,0,Kiran Murthy,Arrest,2024-01-14,Bengaluru City,Rekha Reddy
239,401,0,Shivakumar Naik,Arrest,2024-01-14,Bengaluru City,Yashwanth Prasad
242,405,0,Anitha Rao,Arrest,2024-01-15,Belagavi,Pooja Murthy
247,415,0,Anitha Nayak,Arrest,2024-01-15,Udupi,Suresh Iyengar
249,417,0,Rekha Kumar,Arrest,2024-01-15,Bengaluru City,Basavaraj Rao
250,421,0,Ashwini Hegde,Arrest,2024-01-15,Bengaluru City,Mary Kulkarni
251,423,0,Fatima Rao,Surrender,2024-01-15,Hubballi-Dharwad,Ravi Desai
253,427,0,Anitha Nayak,Arrest,2024-01-15,Hassan,Imran Patil
255,429,0,Anitha Kulkarni,Arrest,2024-01-15,Bengaluru City,Joseph Murthy
257,431,0,Kiran Shetty,Arrest,2024-01-15,Belagavi,Pooja Gowda
259,433,0,Vinutha Kulkarni,Arrest,2024-01-16,Mysuru,Ravi Shetty
260,439,0,Prakash Hegde,Arrest,2024-01-16,Bengaluru City,Yashwanth Murthy
262,441,0,Deepak Prasad,Arrest,2024-01-16,Mangaluru (DK),Anitha Desai
264,443,0,Imran Iyengar,Arrest,2024-01-16,Bengaluru City,Ashwini Nayak
266,445,0,Imran Murthy,Arrest,2024-01-16,Bengaluru City,Rekha Shetty
269,453,0,Ashwini Iyengar,Arrest,2024-01-16,Raichur,Rekha Murthy
270,455,0,Ashwini Iyengar,Arrest,2024-01-16,Mysuru,Anitha Desai
272,457,0,Prakash Hegde,Arrest,2024-01-16,Belagavi,Joseph Bhat
274,459,0,Yashwanth Rao,Arrest,2024-01-16,Bengaluru Rural,Mary Kumar
275,465,0,Manjunath Shetty,Arrest,2024-01-16,Belagavi,Lakshmi Murthy
276,467,0,Lakshmi Patil,Arrest,2024-01-16,Vijayapura,Nagaraj Gowda
279,471,0,Girish Prasad,Arrest,2024-01-17,Bengaluru Rural,Suresh Iyengar
281,473,0,Imran Nayak,Arrest,2024-01-17,Bengaluru City,Chetan Prasad
283,475,0,Anitha Nayak,Arrest,2024-01-17,Bengaluru Rural,Kiran Reddy
285,477,0,Kiran Bhat,Arrest,2024-01-17,Shivamogga,Ravi Murthy
287,479,0,Pooja Kumar,Arrest,2024-01-17,Bengaluru City,Ravi Kulkarni
288,481,0,Shivakumar Rao,Arrest,2024-01-17,Hassan,Mary Murthy
290,483,0,Rekha Naik,Arrest,2024-01-17,Shivamogga,Shivakumar Shetty
291,485,0,Prakash Nayak,Arrest,2024-01-17,Kalaburagi,Rekha Rao
293,487,0,Suresh Shetty,Surrender,2024-01-17,Mysuru,Kiran Hegde
295,489,0,Shivakumar Nayak,Arrest,2024-01-17,Belagavi,Joseph Gowda
296,491,0,Bhavana Nayak,Arrest,2024-01-17,Ballari,Ashwini Gowda
298,495,0,Joseph Rao,Arrest,2024-01-17,Kalaburagi,Yashwanth Kulkarni
299,499,0,Pooja Hegde,Arrest,2024-01-17,Belagavi,Shivakumar Reddy
300,501,0,Basavaraj Rao,Surrender,2024-01-18,Bengaluru Rural,Rekha Hegde
302,503,0,Shivakumar Naik,Arrest,2024-01-18,Hubballi-Dharwad,Shivakumar Patil
303,505,0,Rekha Reddy,Arrest,2024-01-18,Bengaluru City,Kiran Iyengar
307,511,0,Imran Rao,Arrest,2024-01-18,Bengaluru City,Ravi Gowda
308,513,0,Rekha Hegde,Arrest,2024-01-18,Bengaluru City,Fatima Nayak
309,515,0,Ravi Nayak,Arrest,2024-01-18,Ballari,Anitha Shetty
311,519,0,Ashwini Kulkarni,Surrender,2024-01-18,Hubballi-Dharwad,Pooja Kumar
313,523,0,Imran Kumar,Arrest,2024-01-18,Ballari,Ashwini Gowda
314,525,0,Joseph Naik,Surrender,2024-01-18,Vijayapura,Prakash Murthy
315,527,0,Fatima Kulkarni,Surrender,2024-01-18,Hassan,Lakshmi Bhat
317,529,0,Chetan Iyengar,Arrest,2024-01-18,Tumakuru,Bhavana Hegde
319,531,0,Girish Bhat,Arrest,2024-01-18,Hassan,Deepak Kumar
321,533,0,Joseph Hegde,Arrest,2024-01-18,Raichur,Mary Shetty
323,535,0,Rekha Iyengar,Arrest,2024-01-19,Bengaluru City,Manjunath Rao
324,537,0,Girish Kulkarni,Arrest,2024-01-19,Bengaluru City,Ashwini Naik
326,541,0,Fatima Prasad,Arrest,2024-01-19,Hubballi-Dharwad,Suresh Shetty
328,543,0,Fatima Kumar,Surrender,2024-01-19,Hassan,Shivakumar Shetty
331,547,0,Vinutha Shetty,Arrest,2024-01-19,Bengaluru City,Vinutha Hegde
332,549,0,Imran Naik,Arrest,2024-01-19,Belagavi,Manjunath Iyengar
333,551,0,Basavaraj Desai,Arrest,2024-01-19,Belagavi,Joseph Gowda
335,553,0,Ravi Shetty,Arrest,2024-01-19,Hassan,Bhavana Nayak
336,555,0,Joseph Patil,Arrest,2024-01-19,Hubballi-Dharwad,Girish Murthy
338,557,0,Girish Gowda,Arrest,2024-01-19,Ballari,Pooja Kumar
340,559,0,Basavaraj Reddy,Arrest,2024-01-19,Tumakuru,Joseph Shetty
341,561,0,Prakash Kulkarni,Arrest,2024-01-19,Belagavi,Suresh Patil
344,565,0,Prakash Bhat,Arrest,2024-01-19,Belagavi,Rekha Bhat
346,567,0,Ashwini Prasad,Surrender,2024-01-19,Bengaluru City,Yashwanth Patil
347,569,0,Ravi Nayak,Arrest,2024-01-19,Hassan,Vinutha Hegde
352,579,0,Ravi Hegde,Arrest,2024-01-20,Shivamogga,Ashwini Reddy
354,585,0,Nagaraj Gowda,Arrest,2024-01-20,Ballari,Joseph Gowda
356,589,0,Chetan Murthy,Arrest,2024-01-20,Bengaluru City,Suresh Naik
358,591,0,Prakash Shetty,Arrest,2024-01-20,Bengaluru City,Ashwini Gowda
359,593,0,Kiran Gowda,Arrest,2024-01-20,Mysuru,Deepak Bhat
360,597,0,Basavaraj Shetty,Arrest,2024-01-20,Bengaluru City,Suresh Reddy
361,601,0,Basavaraj Naik,Arrest,2024-01-20,Bengaluru City,Deepak Kumar
363,603,0,Girish Patil,Arrest,2024-01-20,Hassan,Anitha Reddy
364,605,0,Anitha Murthy,Arrest,2024-01-20,Kalaburagi,Ashwini Shetty
366,607,0,Anitha Murthy,Arrest,2024-01-20,Belagavi,Joseph Reddy
368,611,0,Rekha Naik,Arrest,2024-01-20,Ballari,Yashwanth Rao
370,613,0,Suresh Patil,Arrest,2024-01-20,Hassan,Imran Gowda
371,615,0,Manjunath Murthy,Surrender,2024-01-21,Bengaluru City,Yashwanth Iyengar
372,617,0,Girish Bhat,Arrest,2024-01-21,Belagavi,Girish Rao
374,619,0,Imran Desai,Surrender,2024-01-21,Bengaluru City,Kiran Rao
376,621,0,Kiran Hegde,Arrest,2024-01-21,Mysuru,Basavaraj Rao
377,623,0,Ravi Murthy,Arrest,2024-01-21,Bengaluru City,Fatima Nayak
379,625,0,Chetan Reddy,Surrender,2024-01-21,Bengaluru City,Girish Murthy
380,627,0,Ravi Nayak,Arrest,2024-01-21,Bengaluru City,Kiran Prasad
382,631,0,Mary Bhat,Arrest,2024-01-21,Hassan,Chetan Hegde
383,633,0,Lakshmi Patil,Surrender,2024-01-21,Belagavi,Girish Patil
385,637,0,Ashwini Nayak,Arrest,2024-01-21,Bengaluru City,Ravi Desai
387,639,0,Lakshmi Iyengar,Surrender,2024-01-21,Mysuru,Kiran Prasad
388,641,0,Fatima Shetty,Surrender,2024-01-21,Bengaluru City,Mary Hegde
391,645,0,Ashwini Rao,Arrest,2024-01-21,Hubballi-Dharwad,Chetan Shetty
393,649,0,Ravi Iyengar,Arrest,2024-01-22,Belagavi,Suresh Kumar
395,651,0,Suresh Gowda,Surrender,2024-01-22,Shivamogga,Vinutha Desai
396,653,0,Basavaraj Kumar,Arrest,2024-01-22,Bengaluru City,Prakash Desai
397,655,0,Vinutha Kulkarni,Arrest,2024-01-22,Bengaluru City,Basavaraj Kulkarni
399,657,0,Anitha Naik,Surrender,2024-01-22,Mysuru,Ravi Nayak
402,661,0,Deepak Rao,Arrest,2024-01-22,Davanagere,Manjunath Kumar
403,665,0,Anitha Shetty,Arrest,2024-01-22,Hassan,Yashwanth Murthy
405,667,0,Nagaraj Prasad,Arrest,2024-01-22,Ballari,Ashwini Shetty
406,669,0,Basavaraj Kumar,Arrest,2024-01-22,Raichur,Pooja Desai
408,671,0,Lakshmi Kulkarni,Arrest,2024-01-22,Mysuru,Ashwini Shetty
409,673,0,Prakash Rao,Arrest,2024-01-22,Mangaluru (DK),Fatima Shetty
411,675,0,Nagaraj Bhat,Surrender,2024-01-22,Hubballi-Dharwad,Bhavana Iyengar
412,677,0,Girish Patil,Arrest,2024-01-22,Mysuru,Yashwanth Murthy
415,681,0,Suresh Hegde,Arrest,2024-01-23,Bengaluru City,Suresh Hegde
417,683,0,Basavaraj Murthy,Arrest,2024-01-23,Bengaluru City,Mary Rao
418,685,0,Vinutha Bhat,Surrender,2024-01-23,Vijayapura,Suresh Desai
422,695,0,Manjunath Shetty,Surrender,2024-01-23,Raichur,Shivakumar Patil
426,701,0,Lakshmi Hegde,Arrest,2024-01-23,Bengaluru City,Basavaraj Prasad
428,703,0,Anitha Reddy,Arrest,2024-01-23,Bengaluru City,Suresh Patil
429,705,0,Suresh Bhat,Arrest,2024-01-23,Tumakuru,Anitha Prasad
431,707,0,Ravi Iyengar,Arrest,2024-01-23,Bengaluru City,Shivakumar Patil
433,709,0,Lakshmi Kulkarni,Arrest,2024-01-23,Vijayapura,Basavaraj Nayak
435,713,0,Mary Hegde,Arrest,2024-01-23,Belagavi,Nagaraj Iyengar
437,715,0,Imran Murthy,Arrest,2024-01-23,Ballari,Deepak Patil
439,719,0,Vinutha Kumar,Arrest,2024-01-23,Shivamogga,Joseph Prasad
440,723,0,Vinutha Murthy,Surrender,2024-01-23,Tumakuru,Joseph Gowda
442,725,0,Anitha Patil,Arrest,2024-01-24,Tumakuru,Anitha Kulkarni
445,729,0,Anitha Reddy,Arrest,2024-01-24,Davanagere,Joseph Hegde
447,731,0,Mary Patil,Surrender,2024-01-24,Hubballi-Dharwad,Ravi Nayak
448,733,0,Prakash Prasad,Arrest,2024-01-24,Shivamogga,Basavaraj Desai
450,735,0,Kiran Desai,Arrest,2024-01-24,Hubballi-Dharwad,Pooja Naik
452,737,0,Suresh Patil,Arrest,2024-01-24,Hubballi-Dharwad,Nagaraj Bhat
453,739,0,Ashwini Kumar,Arrest,2024-01-24,Hubballi-Dharwad,Fatima Rao
454,741,0,Yashwanth Iyengar,Arrest,2024-01-24,Ballari,Basavaraj Rao
456,743,0,Anitha Reddy,Arrest,2024-01-24,Ballari,Shivakumar Prasad
457,745,0,Basavaraj Bhat,Arrest,2024-01-24,Hubballi-Dharwad,Deepak Gowda
458,747,0,Nagaraj Kulkarni,Arrest,2024-01-24,Bengaluru City,Mary Rao
460,749,0,Fatima Shetty,Arrest,2024-01-24,Raichur,Ashwini Naik
462,751,0,Ashwini Gowda,Arrest,2024-01-24,Bengaluru Rural,Girish Murthy
463,753,0,Kiran Bhat,Arrest,2024-01-24,Bengaluru Rural,Suresh Iyengar
465,755,0,Basavaraj Shetty,Surrender,2024-01-24,Mangaluru (DK),Mary Shetty
467,757,0,Suresh Gowda,Arrest,2024-01-24,Bengaluru City,Anitha Kulkarni
468,759,0,Shivakumar Kulkarni,Arrest,2024-01-24,Belagavi,Shivakumar Murthy
470,761,0,Mary Prasad,Arrest,2024-01-25,Belagavi,Girish Rao
471,763,0,Nagaraj Shetty,Arrest,2024-01-25,Bengaluru City,Suresh Patil
473,765,0,Prakash Prasad,Arrest,2024-01-25,Davanagere,Pooja Murthy
474,769,0,Prakash Shetty,Arrest,2024-01-25,Belagavi,Ashwini Gowda
476,773,0,Lakshmi Rao,Arrest,2024-01-25,Bengaluru City,Anitha Reddy
477,775,0,Vinutha Patil,Arrest,2024-01-25,Bengaluru City,Chetan Hegde
481,783,0,Anitha Nayak,Arrest,2024-01-25,Kalaburagi,Pooja Kulkarni
482,785,0,Bhavana Gowda,Arrest,2024-01-25,Mangaluru (DK),Lakshmi Gowda
484,787,0,Mary Reddy,Arrest,2024-01-25,Bengaluru City,Lakshmi Prasad
485,789,0,Anitha Rao,Surrender,2024-01-25,Kalaburagi,Suresh Reddy
486,791,0,Imran Naik,Arrest,2024-01-25,Kalaburagi,Ravi Kumar
488,793,0,Basavaraj Desai,Arrest,2024-01-25,Ballari,Joseph Kulkarni
489,795,0,Chetan Nayak,Arrest,2024-01-25,Davanagere,Prakash Iyengar
491,797,0,Basavaraj Rao,Arrest,2024-01-25,Kalaburagi,Chetan Naik
493,799,0,Ashwini Bhat,Arrest,2024-01-25,Belagavi,Bhavana Kumar
495,801,0,Nagaraj Rao,Arrest,2024-01-25,Raichur,Shivakumar Murthy
498,809,0,Girish Kumar,Arrest,2024-01-26,Mysuru,Shivakumar Nayak
500,811,0,Basavaraj Bhat,Arrest,2024-01-26,Bengaluru Rural,Suresh Naik
502,815,0,Chetan Iyengar,Arrest,2024-01-26,Mangaluru (DK),Mary Bhat
503,817,0,Deepak Nayak,Arrest,2024-01-26,Hassan,Joseph Prasad
505,821,0,Vinutha Rao,Arrest,2024-01-26,Mangaluru (DK),Shivakumar Gowda
506,823,0,Deepak Hegde,Arrest,2024-01-26,Mangaluru (DK),Fatima Patil
507,825,0,Yashwanth Rao,Arrest,2024-01-26,Bengaluru City,Joseph Prasad
510,829,0,Yashwanth Gowda,Arrest,2024-01-26,Ballari,Lakshmi Naik
512,831,0,Rekha Hegde,Arrest,2024-01-26,Hubballi-Dharwad,Suresh Murthy
513,835,0,Lakshmi Shetty,Surrender,2024-01-26,Kalaburagi,Prakash Reddy
515,841,0,Basavaraj Shetty,Arrest,2024-01-26,Hubballi-Dharwad,Ravi Hegde
517,843,0,Chetan Iyengar,Arrest,2024-01-26,Bengaluru City,Lakshmi Nayak
519,845,0,Manjunath Kumar,Arrest,2024-01-27,Bengaluru City,Chetan Hegde
520,849,0,Anitha Gowda,Arrest,2024-01-27,Tumakuru,Fatima Desai
522,851,0,Yashwanth Naik,Arrest,2024-01-27,Belagavi,Fatima Patil
524,853,0,Imran Rao,Surrender,2024-01-27,Hubballi-Dharwad,Basavaraj Bhat
528,861,0,Prakash Kulkarni,Arrest,2024-01-27,Mysuru,Fatima Patil
530,863,0,Shivakumar Kulkarni,Arrest,2024-01-27,Bengaluru City,Suresh Patil
533,869,0,Ravi Shetty,Arrest,2024-01-27,Mangaluru (DK),Anitha Prasad
534,871,0,Pooja Naik,Arrest,2024-01-27,Udupi,Fatima Iyengar
536,873,0,Mary Shetty,Surrender,2024-01-27,Bengaluru City,Bhavana Prasad
538,875,0,Prakash Bhat,Surrender,2024-01-27,Bengaluru City,Bhavana Naik
543,883,0,Nagaraj Reddy,Arrest,2024-01-28,Hassan,Fatima Rao
544,887,0,Ravi Kumar,Arrest,2024-01-28,Bengaluru Rural,Nagaraj Nayak
548,893,0,Joseph Kulkarni,Surrender,2024-01-28,Hassan,Ashwini Rao
549,895,0,Pooja Kumar,Surrender,2024-01-28,Shivamogga,Deepak Patil
551,897,0,Prakash Patil,Arrest,2024-01-28,Kalaburagi,Prakash Hegde
555,907,0,Manjunath Bhat,Arrest,2024-01-28,Belagavi,Chetan Kulkarni
558,911,0,Basavaraj Prasad,Surrender,2024-01-28,Belagavi,Basavaraj Reddy
559,913,0,Girish Rao,Arrest,2024-01-28,Kalaburagi,Manjunath Desai
560,915,0,Mary Kulkarni,Arrest,2024-01-28,Mysuru,Bhavana Gowda
561,917,0,Fatima Bhat,Surrender,2024-01-29,Bengaluru City,Manjunath Kumar
563,919,0,Vinutha Gowda,Arrest,2024-01-29,Bengaluru City,Mary Shetty
564,923,0,Vinutha Murthy,Arrest,2024-01-29,Ballari,Pooja Reddy
566,927,0,Mary Shetty,Arrest,2024-01-29,Kalaburagi,Kiran Rao
568,931,0,Bhavana Hegde,Arrest,2024-01-29,Bengaluru City,Yashwanth Hegde
571,935,0,Suresh Rao,Arrest,2024-01-29,Kalaburagi,Mary Desai
573,937,0,Bhavana Gowda,Arrest,2024-01-29,Hassan,Mary Bhat
576,943,0,Deepak Reddy,Arrest,2024-01-29,Mangaluru (DK),Yashwanth Rao
578,945,0,Lakshmi Gowda,Arrest,2024-01-29,Belagavi,Prakash Patil
579,949,0,Mary Prasad,Arrest,2024-01-29,Kalaburagi,Ashwini Murthy
580,951,0,Nagaraj Kumar,Arrest,2024-01-29,Hubballi-Dharwad,Ashwini Shetty
581,953,0,Imran Desai,Arrest,2024-01-29,Hassan,Prakash Iyengar
583,955,0,Kiran Patil,Arrest,2024-01-30,Raichur,Ravi Reddy
586,963,0,Bhavana Shetty,Arrest,2024-01-30,Hassan,Ashwini Iyengar
588,969,0,Prakash Murthy,Surrender,2024-01-30,Davanagere,Fatima Kulkarni
590,971,0,Prakash Bhat,Arrest,2024-01-30,Mangaluru (DK),Imran Reddy
591,973,0,Deepak Rao,Surrender,2024-01-30,Bengaluru City,Imran Kumar
592,979,0,Basavaraj Iyengar,Surrender,2024-01-30,Hubballi-Dharwad,Imran Murthy
594,983,0,Fatima Hegde,Arrest,2024-01-31,Mysuru,Yashwanth Desai
